Year,Agriculture - Agricultural Economics,Agriculture - Animal Sciences,Agriculture - General Agriculture ,ALL MAJORS,Arts - Art History and Criticism,Arts - Commercial Art and Graphic Design,Arts - Drama and Theater Arts,"Arts - Film, Video and Photographic Arts",Arts - Fine and Studio Arts,Arts - Music,Business - Accounting and Actuarial Science,Business - Business Management and Administration,Business - Finance,Business - Hospitality Management,Business - Human Resources and Personnel Management,Business - International Business and Business Economics,Business - Marketing and Marketing Research,Business - Operations and Logistics,Communications and Journalism - Advertising and Public Relations,Communications and Journalism - Communication Technologies,Communications and Journalism - Communications,Communications and Journalism - Journalism,Communications and Journalism - Mass Media,Computer Science and Mathematics - Computer Science,Computer Science and Mathematics - Mathematics and Statistics,Education - Art and Music Education,Education - Early Childhood Education,Education - Elementary Education,Education - General Education,Education - Language and Drama Education,Education - Math and Science Teacher Education,Education - Physical and Health Education Teaching,Education - Secondary Teacher Education,Education - Social Science or History Teacher Education,Education - Special Needs Education,Engineering - Aerospace Engineering,"Engineering - Biological, Biomedical, and Environmental Engineering",Engineering - Chemical Engineering,Engineering - Civil Engineering,Engineering - Computer Engineering,Engineering - Electrical Engineering,Engineering - Energy and Extraction Engineering,Engineering - Engineering Technologies,Engineering - General Engineering,Engineering - Industrial and Manufacturing Engineering,Engineering - Mechanical Engineering,Health - Health and Medical Administration,Health - Medical Technologies and Assistance,Health - Nursing,"Health - Physical Fitness, Nutrition, and Sports Studies",Health - Treatment Therapy Professions,"Humanities - Area, Ethnic, and Civilization Studies",Humanities - Composition and Speech,Humanities - English Language and Literature,Humanities - Liberal Arts,Humanities - Linguistics and Foreign Languages,Humanities - Philosophy and Religious Studies,Humanities - Theology and Religious Vocations,Life Sciences - Biochemistry and Molecular Biology,Life Sciences - Biology,"Life Sciences - Botany, Ecology, and Zoology","Life Sciences - Microbiology, Physiology, Genetics, and Neuroscience",Miscellaneous - Architecture,Miscellaneous - Construction Services,Miscellaneous - Environment and Natural Resources,Miscellaneous - Family and Consumer Sciences,Miscellaneous - Production and Transportation Technologies,Physical Sciences - Chemistry,Physical Sciences - Earth and Other Physical Sciences,Physical Sciences - Multidisciplinary Science,Physical Sciences - Physics,Social Sciences - Anthropology and Archeology,Social Sciences - Criminology and Criminal Justice,Social Sciences - Economics,Social Sciences - Geography,Social Sciences - History,Social Sciences - International Relations,Social Sciences - Political Science and Government,Social Sciences - Psychology,Social Sciences - Public Administration and Policy,Social Sciences - Social Work,Social Sciences - Sociology
1,25073.3415,21816.6463,19622.6124,23998.3099,21816.6463,23343.8067,12876.9982,20960.2116,15023.168,19634.9827,32704.3643,26290.544,32724.9643,26200.2542,27270.8053,29978.9946,27270.8053,41920.4129,26827.0813,26827.0813,23056.2307,26827.0813,19492.9972,32179.5484,31415.9682,22362.0622,19283.3922,21257.8301,26200.2542,15916.1265,32488.3218,17453.3088,21802.9061,30543.3007,34121.5516,27270.8053,28973.2511,53654.1729,38155.0831,42923.3342,49056.5413,53654.1729,20960.2116,35411.7502,52400.5187,40872.4085,20960.2116,21816.6463,37610.0174,14171.8936,21802.9061,30046.336,11664.5543,20712.7644,21461.6671,25152.2498,16352.177,21798.6213,28296.2836,21461.6671,16352.177,21461.6671,28222.0927,26827.0813,17453.3088,19622.6124,16096.2529,28361.6371,26934.3867,23983.1998,31440.3174,16897.253,21816.6463,32704.3643,28296.2836,20388.5822,23998.3099,22534.752,21816.6463,24680.9115,18532.4707,22238.9669
2,27980.39682,21811.60978,26524.7212,27673.09872,23368.46515,25089.13788,18551.28478,23343.49827,19496.25952,22420.04686,35505.28151,29251.17823,36759.2474,26186.73213,29515.94924,31302.54139,30179.69068,41905.80777,28769.11255,29667.04879,26581.2615,26376.05523,24532.75691,36545.69838,34979.35391,24858.69288,23388.18945,24002.47474,26251.94416,24082.97641,29731.47306,22061.9272,24943.41666,25332.02429,32755.40956,38783.89539,41301.33084,59591.2107,43462.85991,49555.81236,53467.70271,56287.26044,31166.88299,42777.19173,52376.00798,48557.81808,23821.91512,33123.1408,41200.87672,21229.42813,22975.53613,28847.48173,18553.65856,23000.5043,23756.58804,24956.35559,21445.01723,21440.2614,31032.89268,25322.9762,21005.75495,24970.8132,30975.99579,34827.05924,25263.5754,22897.34588,23545.95608,29715.4152,27492.97992,26026.99361,31083.30548,19804.30582,26332.17951,35433.9119,27570.57042,24270.54655,27668.52903,28893.14069,23862.65769,26614.0881,23619.81722,24545.66046
3,33794.50552,22224.8037,30463.9544,30575.11532,24829.66909,27787.97299,21944.3614,23832.57441,21756.17234,24887.94335,38412.33417,31389.1168,39824.39922,26179.96913,31156.5144,32755.76519,32356.79715,41870.87426,31171.4082,28951.65879,29797.30449,28164.5284,28026.12409,39792.6555,36680.65395,27942.74361,26414.27213,26727.83928,27533.97129,28209.69489,30430.14648,26425.25893,28577.23452,27396.89135,32470.08683,47862.71568,48455.21927,63523.12782,48211.33763,52690.35947,55000.24745,62022.35523,38153.61904,47427.21959,52436.19562,53533.79549,27315.28192,38427.05317,43208.63312,25805.52039,26188.00476,28285.91647,23755.74324,25754.00049,25545.06159,27261.97983,24720.94663,22173.49187,33229.01493,27980.39507,22541.76778,28718.3774,32470.08478,42247.18081,29461.251,25622.71033,29081.99168,32780.84078,29693.62963,29211.37228,33528.66291,21507.96208,29433.10347,39067.72811,29039.92912,26557.11104,32750.83628,32560.33529,26041.34348,29565.89621,26526.87135,27612.7755
4,37592.64771,23674.2114,33898.71712,32735.00474,28764.30986,30301.20449,23678.78886,26989.41709,23848.18877,28635.5082,40127.27128,34029.69598,41905.38801,28311.30066,31226.38182,35144.3037,34530.67592,41929.53875,32427.89504,30314.0681,32158.98517,30723.70057,29553.29068,42445.95471,36181.06815,28408.43346,26917.33736,28350.18908,29182.04592,31868.53117,32076.43526,29644.50781,28428.48174,32951.34447,32657.162,56945.47535,51560.68814,64238.51792,50028.24992,54519.86005,56422.10672,63793.55402,41301.33216,52506.32425,53833.54104,55280.48042,30301.20449,37907.17446,44818.25731,28059.90758,30102.72148,30311.99478,26759.47982,28059.90853,27457.2119,29080.03098,26753.3673,25884.16085,35854.16026,29985.63514,25159.76229,33218.81859,35614.1173,47414.89782,31470.91924,27446.76971,31263.65503,34470.70591,30811.50818,29709.46167,31531.24744,23735.44417,31601.13675,42132.87813,30227.28865,28826.82142,38360.20097,33259.00667,28652.16895,32084.30137,27617.01581,30295.48224
5,38319.41379,26224.52139,33900.86468,34246.50103,30965.79263,32478.31205,25139.99201,28105.50445,26082.36386,27914.14487,41708.67488,35289.85716,42816.52345,27947.69207,33730.24186,38509.95664,36499.35209,42505.94524,35192.71202,29421.18998,34509.29088,31420.58403,31734.95554,44224.38391,36919.38368,29123.82001,28557.05543,30472.5138,31654.59773,31861.66373,33088.38747,29280.89496,31114.33979,33605.84171,34403.84679,60233.5353,53525.55834,66898.12854,51285.8615,57803.11355,54929.44487,66453.16463,42254.72582,52792.12444,50364.68674,57129.14338,32112.39074,39622.11055,46379.23571,29248.3126,32289.8785,31409.28185,27606.90625,29656.34009,28898.48245,31583.88896,28207.80991,25802.62654,36063.76097,31984.2371,25509.09826,35217.07701,37243.95041,49793.6055,30920.96802,28836.60674,35390.33307,37614.73558,34955.08625,32987.91295,35476.08852,26279.11964,32539.43005,43044.01358,34014.0185,30644.87346,42054.99473,35234.55245,30661.83806,32811.06534,28713.56848,32119.25654
6,38691.95553,30174.65351,35647.55171,35864.35203,30959.02936,32729.042,27520.25984,31109.79478,28830.1734,31128.04518,43270.98754,36743.38472,44105.08384,29951.87096,34816.75788,41371.51324,38856.11401,44287.56534,37122.85528,32102.54071,36326.20106,32916.54146,33970.71366,45971.06821,37472.46823,30113.86464,30107.28318,31562.66025,32540.6069,34421.16791,33078.03399,30117.1964,31848.42803,32090.70837,34494.0976,64608.31331,56699.91919,67261.74163,53032.54683,61822.45629,55644.8319,60998.86131,43197.93353,55960.79686,51018.19615,58891.22738,34540.46889,40320.7821,47931.05573,31127.03443,32718.09565,32225.90214,30743.42784,30900.04346,30686.95382,32268.03037,29262.58767,27257.0654,39458.71173,35262.9154,28303.79258,37033.98719,39796.09559,49066.38696,31385.6265,30301.20545,38796.65845,39068.90526,36866.29385,34686.13509,35305.32738,28375.14107,34165.44433,44134.15888,37647.83775,32834.04827,43820.06268,37075.84992,31691.0405,33267.82821,29082.90054,33267.36806
7,39981.15703,32724.96551,35647.55285,37387.90556,32935.69579,34224.99876,29279.20219,31411.57191,30510.99613,30516.77566,43986.37908,37970.191,45786.10427,30722.55831,37929.0417,43387.47763,41524.30199,44238.05932,37115.75749,31753.20522,38515.38048,33536.33512,35308.63177,46811.13429,39780.94838,33535.16037,31849.23323,32112.39452,32718.09669,33801.37468,36164.40792,32143.18702,35425.37356,31813.38876,35041.11266,59369.94296,57087.81387,65786.0699,55893.88795,63640.50931,57142.8424,63588.24258,43434.58272,57426.68531,46826.15414,61139.36613,34639.07691,39093.97502,48554.98461,32217.86603,33444.86047,32523.47727,34377.24793,32347.38638,31385.63184,35249.63984,31234.46299,27972.45258,41767.33614,37444.57817,29693.63366,36383.01627,40707.22927,49066.3882,33126.64415,30992.37216,43887.21029,40730.41893,37844.43612,38878.17767,44038.74724,28906.84201,35840.11632,44705.11566,41220.77826,33848.1057,42578.60766,40441.50349,32657.15822,34763.78497,30899.80844,34763.32482
8,42170.14722,32311.02172,36907.7107,38988.69268,32693.30637,36550.01043,29636.05208,32389.71745,30975.65563,34394.42586,45059.46168,39782.05007,47613.31604,34907.09143,38136.11261,42816.52176,43191.73217,48149.30844,39562.79967,35546.26717,39977.90393,36631.90775,36263.48878,47536.5614,43613.82304,34428.03772,31956.19843,32533.74294,33081.7074,34026.40812,39143.47248,36134.89503,36722.61651,33231.47126,34587.89225,58671.00483,59269.4805,64703.01518,59387.25948,65807.9824,61224.23224,63966.72954,43434.58286,58471.12002,51760.43677,65080.29654,36463.99713,40763.62013,49925.57581,34813.47537,35262.9149,34055.82449,36580.69958,34529.0526,33437.73137,34176.55746,32325.29532,29250.75184,43304.41989,39440.49672,33536.34146,39838.91788,44351.35082,49133.03899,35947.28118,30688.67553,42814.12803,41971.50274,40602.70017,39744.18878,44765.9687,29640.47259,36915.73747,47339.17742,41425.5229,36029.76996,41026.78528,41872.28261,34153.11595,37137.13181,31449.54265,36081.79464
9,40551.17699,32303.6988,38852.80907,40442.86203,35145.42734,38088.09373,29979.285,31727.10211,31440.65737,33803.17772,46040.82478,41734.84656,49793.60575,37053.25656,40854.03393,43770.7772,43875.37261,50609.6875,40595.77758,38945.72328,41068.04836,37225.77883,35215.47483,49283.24471,45422.72,33801.37708,32305.53649,33042.74341,34179.40595,34554.11676,39922.36761,36745.71081,37442.05669,34855.61896,35635.90358,64027.30804,48715.57428,66976.34056,61133.94354,66005.19788,66029.68707,68335.96331,44880.38396,57029.03961,55041.56829,66534.74022,37863.59225,42024.09174,50181.51011,36353.05996,36158.51145,38320.59507,36345.50865,36345.96144,34868.50742,34680.16088,34770.65245,29812.31816,42946.72193,39076.88794,36274.21542,39483.31739,45205.52967,50964.6164,38193.55494,31222.67857,44226.50664,41971.50204,43864.89715,44036.52165,47382.08622,32784.50481,37842.04451,49882.85207,39971.99518,37484.21402,43297.4767,43159.9838,36391.37549,38946.71664,32540.3746,37029.70669
10,41287.10085,33287.09834,39059.8759,41873.63936,34806.60494,39136.10311,30407.4991,31904.58863,31868.87146,34243.82796,49199.88493,42604.06093,51446.31236,39241.78514,41569.42397,44258.67545,44487.46874,54245.79525,43866.21674,43032.14142,41056.7823,39671.13618,37077.33156,51728.6016,46607.60769,34899.76133,32313.65322,33758.12936,34906.62641,35523.24593,37006.61703,36150.49806,37507.23332,36831.16469,35528.47051,67354.92035,50112.92305,74261.14963,61919.00911,68869.47178,68202.24031,67609.19751,47802.79457,57424.94956,62726.97827,69526.65531,38981.1471,43605.81095,50988.36081,38526.48183,37612.03633,42713.2253,36345.50474,39054.60006,37106.75956,37152.71673,35490.3207,28381.54277,47183.08516,40847.9927,36702.42951,44349.51635,45432.85512,52066.20857,40993.35768,33076.78815,43978.023,44869.62748,47249.48216,45069.49939,49230.7506,36738.05912,38858.3061,49873.69528,38526.2511,38335.6686,46927.95033,44335.71274,37171.94363,41027.70594,31755.64527,38037.61482
