Year,Agriculture - Agricultural Economics,Agriculture - Animal Sciences,Agriculture - General Agriculture,ALL MAJORS,Arts - Art History and Criticism,Arts - Commercial Art and Graphic Design,Arts - Drama and Theater Arts,"Arts - Film, Video and Photographic Arts",Arts - Fine and Studio Arts,Arts - Music,Business - Accounting and Actuarial Science,Business - Business Management and Administration,Business - Finance,Business - Hospitality Management,Business - Human Resources and Personnel Management,Business - International Business and Business Economics,Business - Marketing and Marketing Research,Business - Operations and Logistics,Communications and Journalism - Advertising and Public Relations,Communications and Journalism - Communication Technologies,Communications and Journalism - Communications,Communications and Journalism - Journalism,Communications and Journalism - Mass Media,Computer Science and Mathematics - Computer Science,Computer Science and Mathematics - Mathematics and Statistics,Education - Art and Music Education,Education - Early Childhood Education,Education - Elementary Education,Education - General Education,Education - Language and Drama Education,Education - Math and Science Teacher Education,Education - Physical and Health Education Teaching,Education - Secondary Teacher Education,Education - Social Science or History Teacher Education,Education - Special Needs Education,Engineering - Aerospace Engineering,"Engineering - Biological, Biomedical, and Environmental Engineering",Engineering - Chemical Engineering,Engineering - Civil Engineering,Engineering - Computer Engineering,Engineering - Electrical Engineering,Engineering - Energy and Extraction Engineering,Engineering - Engineering Technologies,Engineering - General Engineering,Engineering - Industrial and Manufacturing Engineering,Engineering - Mechanical Engineering,Health - Health and Medical Administration,Health - Medical Technologies and Assistance,Health - Nursing,"Health - Physical Fitness, Nutrition, and Sports Studies",Health - Treatment Therapy Professions,"Humanities - Area, Ethnic, and Civilization Studies",Humanities - Composition and Speech,Humanities - English Language and Literature,Humanities - Liberal Arts,Humanities - Linguistics and Foreign Languages,Humanities - Philosophy and Religious Studies,Humanities - Theology and Religious Vocations,Life Sciences - Biochemistry and Molecular Biology,Life Sciences - Biology,"Life Sciences - Botany, Ecology, and Zoology","Life Sciences - Microbiology, Physiology, Genetics, and Neuroscience",Miscellaneous - Architecture,Miscellaneous - Construction Services,Miscellaneous - Environment and Natural Resources,Miscellaneous - Family and Consumer Sciences,Miscellaneous - Production and Transportation Technologies,Physical Sciences - Chemistry,Physical Sciences - Earth and Other Physical Sciences,Physical Sciences - Multidisciplinary Science,Physical Sciences - Physics,Social Sciences - Anthropology and Archeology,Social Sciences - Criminology and Criminal Justice,Social Sciences - Economics,Social Sciences - Geography,Social Sciences - History,Social Sciences - International Relations,Social Sciences - Political Science and Government,Social Sciences - Psychology,Social Sciences - Public Administration and Policy,Social Sciences - Social Work,Social Sciences - Sociology
1,23998.3099,26827.0813,23607.8369,23547.139,21271.2304,23343.8067,13744.4848,16362.477,13089.9816,14280.9088,33536.3262,27900.1662,34884.6477,29344.2983,29433.9289,31440.3174,31440.3174,41920.4129,21816.6463,22907.4781,21802.9061,22637.031,17878.3795,34884.6477,27253.6352,15130.4734,19283.3922,18864.1925,21802.9061,17606.5728,32488.3218,12726.5667,20943.9788,16352.177,33536.3262,32192.4955,28401.0861,43605.8122,32192.4955,42923.3342,49791.0652,45786.1059,26827.0813,42923.3342,52326.9767,44695.9539,17442.329,23178.605,41920.4129,14180.8134,14835.3166,12876.9982,12876.9982,19388.1947,15091.354,17442.329,15667.021,16096.2529,23547.139,20960.2116,15807.1113,20960.2116,22846.6257,34338.6653,15262.0353,20725.8145,22008.216,29452.4689,23438.1238,25089.1417,31440.3174,16352.177,20960.2116,34660.5918,29452.4689,16954.7167,22893.0478,21461.6671,19634.9827,21802.9061,16096.2529,20960.2116
2,34162.92631,25550.12658,29921.41849,30378.71876,25541.40071,26309.49847,17443.09669,21455.21455,18212.17919,20765.93803,41141.04968,32934.75353,41788.90649,30312.20031,32565.87808,34803.33011,34834.00925,46785.28375,29269.06513,27252.45162,28474.52548,27724.4374,24497.6537,42524.82807,37031.49202,25258.59089,25957.51046,25858.43703,28656.06167,25498.34353,33608.34613,21139.44085,26393.9312,21189.28287,35209.48012,47689.91097,45492.4055,61420.10491,44620.08224,55428.08617,57919.4292,54881.4213,35996.93891,51397.23552,54938.36417,53357.36588,24907.99019,36211.55667,46523.66602,23229.48415,23357.03041,23963.67357,20030.88993,23723.36327,21982.48788,24187.33443,21079.22251,21624.22764,29300.82955,25712.68848,19610.58576,27107.87435,30604.40654,43578.53358,25288.85211,25508.71774,26243.83119,32945.7327,28324.97285,29948.39556,32658.1152,22028.91042,28180.95702,41551.41491,30536.20279,24716.34491,31478.69638,30282.1321,24377.22698,27980.39716,25038.61268,26200.26135
3,41435.13979,25690.5247,33324.07274,35256.04816,27541.26002,30163.77342,21595.02113,25091.32499,22582.27137,25095.90455,46324.75629,37227.08535,47432.19729,31439.09013,35480.94417,38273.30949,37628.70211,49890.75618,35964.913,29070.50567,33433.67874,31982.6766,29555.59701,48781.33733,42482.21792,31850.6436,30260.54666,30478.69545,32567.2049,29061.5799,36403.04336,27628.08555,32494.34882,28464.93293,35558.81875,58035.22205,56771.65184,72337.58188,53875.248,60793.50429,62282.61922,66518.31873,44521.41723,56360.82448,58456.25036,59920.38178,30474.8943,43029.78387,50003.50894,29403.99958,29142.75847,28754.09939,26640.01043,27991.4653,27133.13788,29062.93227,26401.59413,24992.22938,35996.21208,29990.78628,24334.54746,32640.44177,35508.16926,51028.16408,30932.34061,29080.21691,31262.73952,37672.67193,35047.5359,34303.71043,40343.52275,24935.96557,33421.00845,47451.1982,32164.93517,28846.20208,38382.95142,36945.45068,28733.68597,32922.39016,29105.28902,30121.84674
4,44114.7025,29016.7398,37693.81427,38668.06232,32495.83538,34342.43834,25816.94158,29627.60763,27248.26878,28554.52172,48770.11131,40863.19332,51611.08997,34581.33709,36208.16685,42098.73676,40665.30477,50642.035,37782.96621,35075.00753,36720.62918,35253.11141,32626.9404,53132.76197,44228.90165,33267.83197,31357.10381,33016.64524,34606.40672,33066.79163,37856.5675,31988.66861,34007.01976,35110.50196,36109.88123,63839.25947,59982.33176,74540.19669,57019.27686,64012.75409,63502.6626,74528.74218,49119.61598,59854.19152,61715.23901,62827.43725,34631.15389,43038.9435,51791.97841,33437.5335,33976.6538,32183.13679,31467.52472,30898.52152,30237.98799,32233.26654,30030.83327,28543.56391,41749.41636,35073.09248,30225.04129,39078.9423,40957.82541,54962.8047,33805.57585,31941.77017,35989.67798,41306.48919,39239.57744,37240.64072,44168.19155,27117.63161,36123.92541,51282.6375,34884.34697,31169.85445,41244.50799,39861.20585,32005.42789,35110.23606,30451.64567,33200.7013
5,45299.58627,31198.40493,40351.63376,41211.73191,32945.27828,36952.31945,29453.04731,31723.6288,30121.84412,28763.46264,50248.15142,43398.85168,53859.01841,35235.72637,39697.80703,46493.24458,44043.19314,55621.9253,41593.09105,36361.07538,39627.68302,37248.65384,37152.48776,56766.57915,44790.69955,34662.84172,32540.15262,34029.72021,36343.77108,34521.23325,37970.71728,33805.27313,37336.2355,37815.515,37475.47978,65786.52635,61748.66053,77105.75647,59111.7196,65453.00353,65317.52119,82148.98822,52753.43335,63124.02181,63146.01416,65444.829,36618.68025,45185.10999,53507.12379,35775.73613,36524.94039,35194.45141,30543.19192,33442.19718,32056.68492,35094.82087,33250.0814,28792.09207,43338.83329,38320.05091,33444.29101,41308.95598,42783.89157,58957.63337,35622.48381,32839.15465,42523.68176,43614.97114,43053.17196,40698.75735,48806.19448,27956.70071,38394.61647,53089.24413,36496.51003,34282.13704,48056.57429,42906.06781,34448.29073,36935.1601,31701.03835,35589.23857
6,47494.77697,34834.00979,43387.47915,43506.83879,34756.46319,38035.13903,30501.06076,35152.66359,32696.72138,31781.42849,52066.20604,45526.62201,56260.70525,37053.77777,41994.59884,50708.67516,47130.87827,58541.57137,43722.83857,38889.95887,42317.57535,39767.5494,40108.55891,58880.44345,46324.92361,35745.6613,33613.23432,35348.18866,37684.29671,37966.14003,37970.71627,35792.80295,36773.79585,35997.46043,37938.96391,70163.13552,60988.38514,78179.8794,61832.61671,71216.53009,67064.20414,77416.34273,54182.44635,67258.22443,63988.71112,68087.40229,39211.14077,45185.11207,54234.34653,37964.2691,39602.614,38094.45642,31996.71947,35001.40703,33867.18174,36924.41759,34866.98126,32385.07531,47036.8201,41590.48838,35086.83368,44051.68501,46616.7685,58242.31773,38700.15743,33623.88354,50894.51121,45422.72381,45607.60508,42879.04626,48167.70787,30870.85326,40833.29887,55634.51971,41469.11643,38672.59749,49617.5522,44809.01775,35175.05302,38699.00602,32749.04804,38654.39028
7,49784.02017,36091.61975,44223.90939,45295.30704,36153.80628,40116.12838,31409.51643,36623.54599,33220.72789,34132.34104,53827.91283,47344.6766,60076.21207,38800.45806,47801.37999,53242.73211,50627.82366,61073.31888,46716.61948,39046.21945,45074.15153,41022.65883,41920.41744,60944.79905,49204.87706,37363.51442,34261.57397,35348.18911,37891.36408,37413.05338,39432.94335,37618.18108,37821.80678,36545.88527,38460.9858,72683.45026,61060.50156,77765.73838,64430.09498,74856.64414,69922.56245,79234.3984,56324.17493,70052.91917,65441.62924,70965.41067,41014.6467,46992.8636,54518.71546,39233.42354,41319.54464,38656.89503,33851.13682,37181.69763,35412.35997,40417.78459,37237.32115,32755.32533,50730.7315,43770.77837,33204.17544,42851.64269,47839.44465,60602.41574,41062.13807,34157.88466,58880.89904,48947.52681,46178.56186,46256.93721,51788.79011,33408.34473,43209.64339,58198.56985,45392.07873,41737.74722,49617.55184,48807.98738,37173.95512,41007.63043,33191.16229,41391.43012
8,51506.18932,37182.45255,46107.46996,47122.5188,38848.39608,42049.31015,31232.029,41164.92421,34703.72526,38066.98217,54541.60862,49161.58846,62937.76733,43642.68095,46438.96645,53855.94511,52416.29457,61800.08519,47914.21467,42025.72928,47617.82385,42840.71075,42127.76344,62761.70725,53985.10804,38864.48683,34624.95596,36081.80017,38520.47913,37298.03895,42712.9953,40716.3884,40118.59738,36409.91183,37095.38924,75172.28018,63619.28423,80636.02295,67776.39519,81052.22193,73198.25457,76707.89735,56687.55717,69867.3667,71948.98958,74985.41562,43194.93886,48188.78482,54949.73715,40894.93816,43960.86731,37056.10876,36753.26429,39679.56546,38682.79492,39169.00321,38159.78063,34862.94137,52058.21443,45068.95824,37750.91092,47623.38889,51475.5516,62760.56411,42442.99135,34884.64598,59255.49888,50508.50396,49087.44912,46256.93502,52146.48154,36349.28434,44304.6051,62936.95661,48867.2591,43168.52751,47931.05536,51421.05887,39023.42411,44377.50129,33561.87103,43369.6045
9,51492.6606,39136.23348,48157.02173,49270.36981,42482.21267,43638.724,33254.51387,41371.9974,35971.5562,39551.13506,57107.35104,51326.15361,65081.21504,46187.95897,48183.96453,53870.96596,53695.32046,66482.41252,48531.9641,47569.99612,49469.3085,44516.77103,43052.94164,66013.2564,56096.14963,40799.63661,33015.33179,36209.99079,39450.64205,37511.02564,43586.3385,41232.72086,42134.56409,39475.06426,38378.58943,77619.69802,62529.1386,83216.03372,68704.19629,84231.05373,77318.44392,83612.152,57354.56754,71914.54742,75582.80279,77081.43419,46663.78791,49996.53706,54938.29146,42703.60446,44687.63105,41142.84005,38933.55446,42297.56401,41044.77918,39731.44373,40305.94608,33982.75967,49077.8328,45555.16774,40780.83902,50094.38563,50564.0554,67473.08305,43906.13615,35611.41319,59605.83242,52041.04513,50178.28164,51356.8707,54968.83502,38522.47728,46354.69432,66558.18581,48168.58793,44995.5097,55454.62513,53866.41742,41702.98585,46039.28902,34709.98592,43931.40115
10,54926.5259,41933.7916,48157.02049,51416.53713,40849.6789,45427.19421,33713.52819,42404.97514,37486.75185,38988.69688,60729.72083,53144.20561,65985.20132,46522.26656,48194.95416,54245.79525,54433.98942,69190.71854,50278.64739,51481.24709,50587.18402,48010.14025,45795.03639,69506.62665,55975.95683,41370.314,33821.43403,37101.07838,39999.06687,39287.8196,44304.40486,41752.59613,43531.90988,40735.53623,37728.37877,78733.19838,68330.88325,90881.78527,69949.4251,88082.43956,79464.61367,85048.50548,59556.99904,73198.25701,79943.99504,79654.15398,46876.24832,48309.82861,55665.056,44460.3304,46813.87853,46230.1847,38889.17559,45568.0002,43069.90339,41062.14246,41007.62396,33975.89323,54168.38102,47372.07959,43382.47563,54446.03508,51088.06065,69763.0096,45723.04657,38494.71906,59605.83111,52161.50699,54498.03943,52028.78481,62966.80994,40140.96735,49076.91504,69062.04587,49514.66085,47374.21999,62608.5104,55723.43104,42429.74767,48093.99355,35262.9168,44403.5683
11,56697.72574,43751.84588,47458.34405,53223.14392,41071.2997,45427.1935,34254.62764,41007.62928,36972.88715,40419.47125,62222.38052,54973.01611,68977.11189,47464.15093,52386.9963,57822.73847,57509.47827,72113.33706,53078.25141,53592.28481,51701.84515,51634.8006,46512.8725,72742.328,59367.34686,41335.88933,33821.43302,37592.65025,40169.39013,40857.28064,43340.52901,41016.67612,43180.88684,43044.01698,38557.43774,81317.28888,73421.43554,93288.35543,73168.67337,90476.61001,83082.40596,86866.5605,61023.11416,77318.44681,77728.96726,80724.6994,50158.12861,48135.16117,55960.79592,46733.45302,47280.16113,49873.84395,43497.7945,46131.90213,43069.90114,44457.09198,44490.47745,34923.80459,60191.99964,49985.1479,42054.98993,53718.81357,53256.90645,71181.80124,49804.36574,37318.51718,66112.12947,54245.79251,56607.58392,54233.59264,68315.77425,41963.02728,52556.22382,73402.84166,50331.81796,49817.89264,63681.59411,56353.55938,43024.09433,47269.39893,36345.73359,46268.57336
12,56697.72633,43053.17673,47453.19531,54234.34579,45431.88211,47931.05801,35376.17095,42589.02897,37322.2206,39917.06882,63279.01032,56301.81998,71126.00098,49645.81161,54934.33224,60602.41221,59780.16477,74680.69129,56035.88347,52161.50489,54147.20611,51271.19162,47976.70095,75692.45111,63893.70439,39400.73964,35155.2588,37519.97549,40693.39818,39758.89405,40478.58915,42326.41157,43668.78431,43378.32051,38557.44012,83941.1845,83978.04821,94724.77736,77076.44973,92748.50479,84900.94192,88200.04619,65822.16899,79119.33251,80192.41316,83170.06036,49067.9869,49952.0687,58504.46743,48197.28148,49862.39327,51271.18699,43270.30066,46245.34464,43905.67621,45683.12435,47352.03273,35832.5634,65540.83626,52430.50381,43557.30802,53661.56406,59619.12997,74042.74449,51344.35551,38561.61213,66497.65181,60115.97325,56607.58278,50961.10075,76581.95315,43062.33231,54440.77383,74821.63541,52064.97343,51635.19818,62419.32991,60007.40459,44785.81086,49100.97479,37080.27799,46714.06447
13,56289.45767,44342.86011,49921.28805,54592.04125,45221.26913,48296.00454,38732.66481,43543.28622,38502.40905,41933.03368,63279.01106,58033.48313,72872.68626,52307.96417,56694.54122,62683.41301,60870.99586,75608.49579,56346.4553,55236.99131,54860.90327,51271.19348,49441.67259,76675.5931,70850.50765,41582.4055,34820.88944,37877.66807,40872.19819,39782.28145,40251.09461,42161.447,45764.80357,41720.04718,39057.02532,91208.8243,87630.18513,91714.04447,80838.94822,96891.51694,88120.18868,84929.60822,68814.08339,80260.69319,82027.637,85005.2842,50884.89351,49831.02283,59231.23363,48524.4043,51669.00079,47646.52523,46904.12035,45155.1992,44814.69845,45051.102,48222.87952,38748.31765,63359.17,56077.37066,47179.8943,56590.76164,62898.56753,77619.69257,53161.26634,37303.9997,70823.50344,64828.49193,57655.5959,52077.65936,79064.08655,42323.55674,54866.26444,81375.74481,55582.85638,54496.54214,63664.55611,61410.35429,45635.40616,49506.65701,38171.11189,47695.42444
