Year,Agriculture - Agricultural Economics,Agriculture - Animal Sciences,Agriculture - General Agriculture ,ALL MAJORS,Arts - Art History and Criticism,Arts - Commercial Art and Graphic Design,Arts - Drama and Theater Arts,"Arts - Film, Video and Photographic Arts",Arts - Fine and Studio Arts,Arts - Music,Business - Accounting and Actuarial Science,Business - Business Management and Administration,Business - Finance,Business - Hospitality Management,Business - Human Resources and Personnel Management,Business - International Business and Business Economics,Business - Marketing and Marketing Research,Business - Operations and Logistics,Communications and Journalism - Advertising and Public Relations,Communications and Journalism - Communication Technologies,Communications and Journalism - Communications,Communications and Journalism - Journalism,Communications and Journalism - Mass Media,Computer Science and Mathematics - Computer Science,Computer Science and Mathematics - Mathematics and Statistics,Education - Art and Music Education,Education - Early Childhood Education,Education - Elementary Education,Education - General Education,Education - Language and Drama Education,Education - Math and Science Teacher Education,Education - Physical and Health Education Teaching,Education - Secondary Teacher Education,Education - Social Science or History Teacher Education,Education - Special Needs Education,Engineering - Aerospace Engineering,"Engineering - Biological, Biomedical, and Environmental Engineering",Engineering - Chemical Engineering,Engineering - Civil Engineering,Engineering - Computer Engineering,Engineering - Electrical Engineering,Engineering - Energy and Extraction Engineering,Engineering - Engineering Technologies,Engineering - General Engineering,Engineering - Industrial and Manufacturing Engineering,Engineering - Mechanical Engineering,Health - Health and Medical Administration,Health - Medical Technologies and Assistance,Health - Nursing,"Health - Physical Fitness, Nutrition, and Sports Studies",Health - Treatment Therapy Professions,"Humanities - Area, Ethnic, and Civilization Studies",Humanities - Composition and Speech,Humanities - English Language and Literature,Humanities - Liberal Arts,Humanities - Linguistics and Foreign Languages,Humanities - Philosophy and Religious Studies,Humanities - Theology and Religious Vocations,Life Sciences - Biochemistry and Molecular Biology,Life Sciences - Biology,"Life Sciences - Botany, Ecology, and Zoology","Life Sciences - Microbiology, Physiology, Genetics, and Neuroscience",Miscellaneous - Architecture,Miscellaneous - Construction Services,Miscellaneous - Environment and Natural Resources,Miscellaneous - Family and Consumer Sciences,Miscellaneous - Production and Transportation Technologies,Physical Sciences - Chemistry,Physical Sciences - Earth and Other Physical Sciences,Physical Sciences - Multidisciplinary Science,Physical Sciences - Physics,Social Sciences - Anthropology and Archeology,Social Sciences - Criminology and Criminal Justice,Social Sciences - Economics,Social Sciences - Geography,Social Sciences - History,Social Sciences - International Relations,Social Sciences - Political Science and Government,Social Sciences - Psychology,Social Sciences - Public Administration and Policy,Social Sciences - Social Work,Social Sciences - Sociology
1,29617.0938,28361.6371,34884.6477,34584.34,32179.5484,31440.3174,19634.9827,27270.8053,21802.9061,27253.6352,45069.504,35632.3556,41920.4129,34884.6477,35974.7997,39824.3938,37557.92,49087.4516,32724.9643,35452.0438,31440.3174,31440.3174,28361.6371,50304.4996,43633.2926,29344.2983,23056.2307,30392.3027,34338.6653,26827.0813,36484.8351,19622.6124,31440.3174,32192.4955,38155.0831,41920.4129,51352.5143,65449.9286,54496.5481,56687.5538,59957.9995,59736.601,39269.9551,53654.1729,58688.5863,56687.5538,28343.7769,38630.9946,47160.4658,26200.2542,27253.6352,37557.92,17816.1778,28296.2836,31119.4209,33536.3262,26200.2542,31440.3174,34884.6477,32192.4955,23983.1998,31440.3174,38700.1591,39269.9551,30046.336,26179.9735,29997.8848,40360.7869,38155.0831,33012.324,38179.1233,32724.9643,32192.4955,43060.7465,37728.3747,32192.4955,34060.3387,32724.9643,27270.8053,33536.3262,26163.4935,30524.0706
2,37299.71233,29772.84889,36510.28555,37921.45,33085.56784,33433.6801,26806.53125,30399.81162,28350.188,30312.20014,47846.35593,38731.36748,46881.36002,34535.69328,36672.51726,41627.73561,39545.44698,51973.90089,35526.4328,36762.50157,34363.1998,34181.51208,32588.98966,52376.00966,47003.16467,33278.85326,29088.1084,33287.09803,34702.65667,32757.26657,35582.37414,28450.48024,33016.64515,32170.35879,37246.63047,56147.89606,56463.89227,69032.30743,53788.38052,62174.15696,63605.54995,65148.76136,44107.63882,57445.04537,57803.86861,59971.04361,32056.21015,43176.51763,49955.16112,30384.40506,31966.10353,36510.5167,25754.10332,32602.47276,33501.38337,34485.73499,31931.78217,29788.33066,38535.40857,33865.94246,27880.29397,34698.49434,39799.23668,47709.44421,34895.42081,30348.06615,34890.94844,39056.97261,36885.04173,35641.39411,40300.59316,30939.21005,34885.68049,47781.13081,39102.99461,33800.76494,40423.98809,37632.5882,30616.0247,34876.86064,29626.68737,33147.28682
3,43496.84103,30493.65954,38699.27726,40716.14667,35284.51493,35529.7021,31162.99024,33192.12871,31990.87522,33590.42017,50290.02668,41176.72429,50792.61422,35134.26601,38988.69674,43251.59043,41333.9197,53078.25577,39153.38234,36473.26766,37691.60143,36419.76838,34770.65447,54472.03108,49901.05898,35997.75278,32562.76331,35033.78367,35611.41523,36904.89249,37394.2357,34264.58977,35771.23613,34884.65261,36755.05807,65066.86911,61512.67574,73015.77055,56011.44907,64739.97289,65422.45658,78859.83864,49186.7425,59821.85822,60060.36792,62878.0988,35842.98129,46298.39081,52404.09457,34349.13871,35026.15868,37072.95391,32042.16602,35331.98864,34574.46507,36183.95841,36280.10798,29482.91454,42976.68597,35853.47273,30060.58372,38890.5364,40523.32148,54292.65536,37456.10328,32958.92118,39426.92448,41323.53111,40529.16271,38945.06549,46481.97512,30932.34185,37210.69833,51608.08378,40698.75891,35606.60432,46537.38061,41450.50283,33403.20947,38596.73799,31636.35647,35548.72443
4,45999.01815,31806.97425,42542.45626,43402.05333,39576.84915,38800.13717,31591.20684,36878.57115,34329.08109,37254.11483,52793.88577,44457.23258,54369.55825,36952.31922,40993.28797,46560.58703,44604.35776,53509.27767,40517.07029,38554.25644,40698.7592,39199.43408,36944.07542,57028.29414,50883.75181,35907.50516,33261.43572,35632.35667,37223.58102,39624.86981,39012.08693,36808.55707,36304.63088,38518.4696,37744.2479,66531.16847,63626.5435,77013.90769,58131.98351,67376.90839,66512.60165,82530.43276,52686.78672,63024.65371,63279.61993,65072.58354,38929.35747,46905.78591,54227.68467,37423.68029,38712.60112,38898.10539,35476.92874,37030.2111,36754.75358,38171.48575,38526.48077,32247.51468,48080.76323,38918.62276,34429.17845,43352.88019,44167.44381,57511.90573,39111.70021,34769.64878,40888.46579,43859.1876,42701.67155,40761.9748,51457.95274,34151.59335,39548.6297,54526.58658,41953.86854,38322.4187,48127.78208,43794.41518,35512.15086,40871.55632,32907.89167,38093.998
5,46811.13267,33424.82574,45059.78133,45681.09333,40675.00775,41283.28789,34036.56306,39673.26808,36233.0912,37443.43267,53951.66969,46740.5117,56483.42603,38259.39639,43896.99363,50912.01125,48102.288,57869.8601,43845.90629,41834.76586,43545.79258,40999.61467,40088.1074,60324.44775,51690.60234,36307.2227,34151.11875,36623.54744,38157.44123,39823.95489,39619.1275,37681.90048,39382.15973,39253.24547,39333.66483,69795.03137,63604.40234,80319.18456,60911.65758,70368.8219,67603.43646,89620.84461,54934.71516,65699.14222,64027.30595,67254.24765,41001.99183,48713.53645,55625.03007,40095.91684,40133.69845,41542.54988,37145.22124,38847.11677,37254.34183,40130.63016,42162.58569,33792.87482,48071.60399,42072.69672,34533.98041,48579.40705,47439.93802,61149.29958,40928.60799,35684.09173,45146.36878,46981.05855,46169.40429,47012.14121,55750.28495,35582.37292,41526.80052,55574.59444,42680.6318,40705.23655,51410.34964,46645.51781,38412.33508,41976.38535,34895.41803,40003.19632
6,48558.56378,38273.3036,45787.00465,48196.31667,39668.46533,43014.9387,35361.90086,44142.8641,39632.54722,41176.91646,56119.8082,49884.54385,58960.89844,40567.88024,44860.8655,54921.11544,51261.34944,62219.66366,46253.47198,45568.68548,46452.84933,44643.73635,43714.5972,63263.16851,51992.47914,36732.35229,36072.79555,37654.27639,39610.96812,40358.10536,39462.86077,39135.42736,40328.28168,39781.59412,41080.3505,72656.58886,62514.25756,81346.16142,64142.89077,75087.12711,69071.61703,80451.14497,57491.43623,69192.50808,64914.83925,69904.91915,42790.4626,50181.50589,57454.53081,41933.0376,42533.52917,42768.58461,39226.21122,40639.36826,38889.86177,41227.10563,43979.49282,37253.5876,50866.2973,45716.8184,37085.66473,50003.50808,51700.52346,60791.60452,44351.35176,37436.56507,52072.76572,50218.70903,47660.20587,50157.67813,56477.50581,39225.35063,44191.1084,59571.11614,46035.76935,44531.04911,52839.36265,49386.12257,39809.68123,41613.00508,35343.36305,42450.23606
7,51064.11146,41714.36048,45776.70143,50739.99333,45358.06071,44660.11322,38045.96816,46421.9062,40203.22828,42754.95788,58233.67604,51770.39311,63067.67815,42149.28429,48505.67112,57789.60691,55422.06805,64695.69647,50116.30614,45568.68513,50086.66634,46056.11285,46371.4081,65067.48552,54912.12362,38520.82314,38518.15601,38304.48693,40542.4756,39784.29214,41487.9839,40883.79319,41983.87568,40673.32136,42453.14264,73387.00528,62877.86428,81368.69475,67472.47267,77881.82139,71615.28455,84293.85076,60778.95064,72826.32216,67418.70039,73561.3127,44354.11319,51999.55726,59574.31024,43387.48102,45806.02304,44586.63749,41242.17561,43071.69004,40352.54763,45234.83889,47613.31355,38244.77967,52612.98094,48651.24301,38903.71832,51002.87731,53518.57483,64011.4625,46254.29827,38327.65382,60306.60019,53556.78828,50115.42,53507.12638,59680.3015,40819.25256,46313.88809,63193.4879,49947.01726,46627.06886,54236.71263,53556.71699,41627.73482,42824.88242,37241.80606,45348.82199
8,53228.67701,43730.32543,48781.33451,52812.83333,47539.72682,46840.40531,39264.30572,49260.07072,41933.03463,46381.44773,59895.10093,53532.09666,65775.98307,46012.38408,48445.11975,57493.86468,57179.22033,65422.4579,54394.73906,47750.34881,53053.74592,48501.47105,47139.94927,66312.71019,58703.00124,40474.60667,38348.14291,39059.98446,41590.48748,39735.83352,45814.95155,44103.32659,43269.67721,41920.41758,42689.7917,76641.87771,66891.09067,83895.19485,70965.83799,82517.10023,75234.6787,83112.10549,61392.3643,72826.32139,74572.59324,77180.70684,47870.87011,54860.90174,61450.20988,45149.19681,48803.46676,47100.53895,47012.14171,46352.88976,42649.33822,45722.73578,47145.65805,39080.17115,55640.10562,50360.0868,46943.99923,53548.15129,56063.84881,66174.08333,48071.20668,39932.10173,60306.59967,55442.63814,54874.66071,52507.36858,58904.72699,42965.41627,48235.24042,68433.54078,51830.57784,49172.34628,54178.8699,56295.00214,43915.47588,45968.91216,37099.5715,47095.50459
9,53580.84352,44077.9775,51690.21568,54932.60667,51972.98919,49175.51243,40846.02254,47915.5557,42887.29007,46637.38203,61721.79181,55324.49142,69033.60415,49646.20253,53159.46718,60405.46818,59624.57926,70432.89965,55632.43902,51803.81605,54870.65423,50319.52389,50047.00656,68963.38137,60944.79794,42930.00345,38529.83424,39960.31016,42317.25121,40646.96765,47259.77908,44602.59664,43624.12943,45831.66599,42689.79099,78788.04614,67086.17344,87975.02604,72782.74214,84952.68235,80579.14619,87729.06943,61626.76266,74825.41655,78029.18356,79554.21293,51711.88945,56607.58542,62411.82856,47318.2584,51428.36943,52465.95352,47239.63405,49865.86871,46028.79347,47487.81693,47967.16426,38534.75613,54242.75987,52163.11913,50287.12008,55617.41852,57392.65005,71205.16396,48141.82996,40792.20049,61021.98898,56107.45066,57282.91002,58325.13807,62904.44554,43093.12968,50399.80557,71295.09751,50666.03315,50276.70336,60435.26881,58450.77845,47366.77309,48512.58596,39002.53764,49241.67067
10,57856.71888,44927.57304,52256.97999,57112.89667,48429.56142,51174.62692,41788.9068,47090.95612,44332.57534,45937.02604,64994.28849,57425.76889,70605.62084,53507.51221,54306.26592,61379.67962,60221.33884,74082.28169,56359.66263,56010.88889,55915.09122,54272.56062,52477.54165,72556.7818,61906.41769,44340.88011,38180.49759,41255.19725,43531.91235,42674.30987,49169.29501,44114.7021,44472.39682,47493.45848,41792.70025,81317.29297,72160.69917,93891.21713,74343.87843,89181.52054,83438.70676,86393.26127,61990.37506,74825.41757,83152.51253,80624.75892,52749.85597,56607.58589,63009.83884,50240.66901,55442.63985,58518.12262,49056.54447,52725.63619,47846.84846,50434.91576,49499.70393,38733.80824,60425.54391,53424.31143,49716.16274,59473.65204,60673.7785,73037.63878,50306.395,44625.07415,61151.20029,58467.54657,61252.63155,58984.56063,70190.39595,44615.18477,52484.09041,73945.77008,50950.40215,52725.63619,66024.65645,62805.29654,49133.20999,52361.96516,39475.08092,50356.32859
