Year,Agriculture - Agricultural Economics
1,23998.3099
2,34162.92631
3,41435.13979
4,44114.7025
5,45299.58627
6,47494.77697
7,49784.02017
8,51506.18932
9,51492.6606
10,54926.5259
11,56697.72574
12,56697.72633
13,56289.45767
14,60326.07226
15,64675.66525
16,66013.25807
17,60928.6295
18,58798.92196
19,57824.70883
20,60008.57547
21,61048.14222
22,59231.23015
23,57062.39032
24,59599.7661
25,65065.38061
26,68346.50751
27,68739.9716
28,63270.78418
29,62898.54297
30,60716.60293
31,63263.8524
32,69428.06622
33,66135.49316
34,66148.54261
35,58568.09957
36,58579.54587
37,59656.64286
38,59982.04141
39,57436.76593
40,51996.33928
