Year,Agriculture - Agricultural Economics,Agriculture - Animal Sciences,Agriculture - General Agriculture ,ALL MAJORS,Arts - Art History and Criticism,Arts - Commercial Art and Graphic Design,Arts - Drama and Theater Arts,"Arts - Film, Video and Photographic Arts",Arts - Fine and Studio Arts,Arts - Music,Business - Accounting and Actuarial Science,Business - Business Management and Administration,Business - Finance,Business - Hospitality Management,Business - Human Resources and Personnel Management,Business - International Business and Business Economics,Business - Marketing and Marketing Research,Business - Operations and Logistics,Communications and Journalism - Advertising and Public Relations,Communications and Journalism - Communication Technologies,Communications and Journalism - Communications,Communications and Journalism - Journalism,Communications and Journalism - Mass Media,Computer Science and Mathematics - Computer Science,Computer Science and Mathematics - Mathematics and Statistics,Education - Art and Music Education,Education - Early Childhood Education,Education - Elementary Education,Education - General Education,Education - Language and Drama Education,Education - Math and Science Teacher Education,Education - Physical and Health Education Teaching,Education - Secondary Teacher Education,Education - Social Science or History Teacher Education,Education - Special Needs Education,Engineering - Aerospace Engineering,"Engineering - Biological, Biomedical, and Environmental Engineering",Engineering - Chemical Engineering,Engineering - Civil Engineering,Engineering - Computer Engineering,Engineering - Electrical Engineering,Engineering - Energy and Extraction Engineering,Engineering - Engineering Technologies,Engineering - General Engineering,Engineering - Industrial and Manufacturing Engineering,Engineering - Mechanical Engineering,Health - Health and Medical Administration,Health - Medical Technologies and Assistance,Health - Nursing,"Health - Physical Fitness, Nutrition, and Sports Studies",Health - Treatment Therapy Professions,"Humanities - Area, Ethnic, and Civilization Studies",Humanities - Composition and Speech,Humanities - English Language and Literature,Humanities - Liberal Arts,Humanities - Linguistics and Foreign Languages,Humanities - Philosophy and Religious Studies,Humanities - Theology and Religious Vocations,Life Sciences - Biochemistry and Molecular Biology,Life Sciences - Biology,"Life Sciences - Botany, Ecology, and Zoology","Life Sciences - Microbiology, Physiology, Genetics, and Neuroscience",Miscellaneous - Architecture,Miscellaneous - Construction Services,Miscellaneous - Environment and Natural Resources,Miscellaneous - Family and Consumer Sciences,Miscellaneous - Production and Transportation Technologies,Physical Sciences - Chemistry,Physical Sciences - Earth and Other Physical Sciences,Physical Sciences - Multidisciplinary Science,Physical Sciences - Physics,Social Sciences - Anthropology and Archeology,Social Sciences - Criminology and Criminal Justice,Social Sciences - Economics,Social Sciences - Geography,Social Sciences - History,Social Sciences - International Relations,Social Sciences - Political Science and Government,Social Sciences - Psychology,Social Sciences - Public Administration and Policy,Social Sciences - Social Work,Social Sciences - Sociology
1,33794.506,36680.3703,43605.8122,38155.0831,32179.5484,33536.3262,20960.2116,27270.8053,22212.8255,27270.8053,50146.6933,40906.2131,49056.5413,38179.1233,39704.0898,46905.788,40777.1644,52581.088,33536.3262,34884.6477,32724.9643,32704.3643,32192.4955,57777.7058,48288.7484,31614.2123,29433.9289,32192.4955,35411.7502,32192.4955,37557.92,18864.1925,34884.6477,32192.4955,39167.5422,53654.1729,41920.4129,64385.0013,54496.5481,60784.6054,68722.424,66498.8703,50971.4555,59995.7696,58688.5863,61832.6201,30046.336,46112.4614,51508.0031,27253.6352,27248.2689,37557.92,21816.6463,31870.5793,27253.6352,32704.3643,23780.1456,32192.4955,33815.7961,32192.4955,26163.4935,34884.6477,38179.1233,42923.3342,27270.8053,27270.8053,41887.9576,41451.629,38155.0831,38155.0831,41425.5185,31119.4209,32704.3643,51269.1152,39269.9551,32704.3643,36680.3703,35632.3556,30046.336,36680.3703,27248.2689,32704.3643
2,45154.08574,36192.32137,43251.58788,43661.63628,37497.73678,36947.80866,28303.7941,32710.08567,30111.16765,32340.40986,54397.13171,46088.79403,56328.69656,39624.64019,42772.06056,49510.46704,44490.14197,57511.61541,39361.61831,38399.43655,38855.26838,38125.30946,36894.32246,62036.08422,54609.69156,37282.96957,33602.54896,36183.96062,38503.76512,37614.73728,39276.25545,31179.71796,36912.62198,34894.79451,41203.67831,61881.62106,59189.22127,73821.61515,57306.26176,70736.87217,69947.74131,74430.09716,53646.33726,62967.01742,64622.20724,65134.40704,37161.77752,50653.83907,56063.77748,34891.97576,35437.02136,40136.32128,28581.75947,36778.2333,33941.77039,37086.68331,33277.38247,33684.90274,40231.89982,37492.89543,31325.13116,39409.55618,42178.8451,53214.12656,36780.0999,34500.00694,44057.63084,45087.73116,42995.43264,45206.68444,48702.77409,32154.42017,39072.70271,60677.85194,40716.1567,37909.71807,47638.53902,42508.9737,34269.93538,40331.70004,32036.3306,38305.13382
3,53562.44659,37047.27515,45078.79915,48828.00042,41079.00003,40313.46213,33194.51011,38155.08821,35283.02029,37567.38259,58641.77903,50622.47838,63611.21445,41433.53673,45889.54381,52419.35015,48782.479,61787.49254,45625.16808,42042.87077,43218.59707,41768.28356,41062.14338,66411.54727,59473.65385,41289.32767,36668.23815,38861.91551,40649.93357,41428.33432,42477.10291,38708.8614,39819.67705,38137.43593,41165.09439,70176.86947,73559.52871,83247.39887,61670.41574,74928.91429,71750.2273,89692.12983,58458.75856,66239.51524,69862.25782,69233.49433,42167.81546,52749.85736,60356.11031,41832.5677,40662.04444,42152.28559,34901.93126,40689.97785,39165.0047,40175.42685,43011.02226,33855.52414,47125.48114,42024.09812,33782.74526,43780.21166,45840.98944,61613.24113,41643.69085,39717.51789,46863.14621,50228.32927,51738.7388,49121.11511,59217.4925,33409.49665,44267.49834,67207.96596,43978.35152,41673.73314,54625.2723,48800.61055,38789.76103,48090.90753,34589.11814,41938.95002
4,57568.1716,40503.1751,51295.49357,53191.32694,45214.69391,45582.80003,38077.71386,42799.12008,39110.69605,41380.97913,62675.31934,55548.12686,70492.66891,44427.31902,48943.87398,58884.60545,54233.20544,64323.65518,50519.45688,48416.1916,47129.84257,45460.73714,44695.96362,69813.25944,63493.55233,41278.3974,37029.22381,40102.99759,43185.59006,44572.36479,44208.75501,41625.07445,41251.9587,42325.49014,42346.52838,74477.83772,79982.1311,87247.11283,65933.4903,78505.85822,75615.4644,99189.08528,62819.33897,71016.59225,74586.21785,73596.82465,45276.91404,53448.53044,63263.16578,46549.20967,46294.76453,45796.63863,37846.87599,42715.10209,43162.20301,44018.13424,48194.72974,37074.77148,52504.1825,46159.792,37591.50139,49441.44154,49829.25904,64894.3719,44116.24589,41708.67812,49794.71598,52801.40429,55024.75881,50843.28272,65021.98421,37464.66449,48107.52033,71220.04371,47259.09438,45409.31446,56686.73695,53223.1459,42981.8051,53178.25538,36414.03891,44796.22175
5,63273.25936,42649.34215,54217.90387,57403.35248,45167.74292,48665.97705,40516.39527,45716.02068,41556.05221,42454.05831,65670.59519,58827.56299,74785.00488,48032.84209,53222.30646,62881.80516,59690.08169,71608.46167,56571.62613,53143.12936,51041.09249,47325.73921,49431.36851,74196.87655,68533.57376,43105.15347,37955.0445,41406.81647,43884.26218,45536.23746,45408.79634,43514.65907,43365.26299,43543.28519,42587.07758,80277.75332,82078.15607,92701.27295,70011.89375,82762.76211,79578.37184,108131.4482,67240.51152,76256.64494,76403.12416,77053.41695,47947.76803,55980.27888,65081.21619,49188.95937,50282.57657,49426.8818,40317.77617,45442.18198,45558.61397,47527.28062,53696.03373,37583.82665,57133.74183,49793.60937,41452.60718,55139.61823,54543.60839,69207.17259,46232.18915,43569.7437,59273.62031,56686.18359,59290.70533,55878.02672,67202.2776,39438.28959,52107.23645,73454.7731,49430.22687,49288.50368,61109.42712,58436.44158,46607.60933,54251.33846,38168.92519,47963.64127
6,65402.9719,46839.10642,56035.95848,60980.29523,46303.68645,51648.57493,43174.21454,49361.28633,45748.09028,45149.51884,70106.69251,62317.35656,79097.25106,51666.66171,56901.01667,67587.79758,63985.61103,77752.4997,59127.89042,58831.69068,55755.44203,52454.50388,52417.43903,78509.12272,73327.3635,44186.14088,39743.51671,42305.80835,45205.82826,46980.6075,44950.67585,45686.25036,44926.2409,45812.97746,44150.60421,82095.80996,79897.86567,90975.40235,74309.30658,90650.1612,82866.44053,103407.4844,70147.56663,79812.6401,79858.07218,80989.07572,50815.93161,58425.63915,66869.68718,51048.54563,54574.90938,51659.7767,42445.5465,48360.22731,47603.01612,49275.63878,54550.52788,40990.15203,60771.1372,54517.5745,45993.98613,57321.28348,58153.67908,69905.84961,50793.1789,45358.2132,68685.42482,59531.28453,59631.94685,62301.46309,66633.95604,44536.1688,55224.51013,78923.81179,54880.95574,55369.31282,68096.16497,63517.49105,48424.51989,52434.43147,39251.74477,53414.36995
7,66637.29885,50179.3964,54962.87548,64779.43065,62666.16695,54567.99213,44617.37208,55632.44339,47536.56238,48774.17759,74057.78605,65655.29646,88634.62556,54112.01591,61846.12262,71880.13006,69452.36492,82471.38322,63488.47097,59502.94348,61120.85954,56995.88426,54609.40194,81418.00892,75944.86548,45659.66216,42655.02852,43033.02755,45205.82899,46522.48244,46995.07773,49310.90911,46743.14797,46647.19697,45939.07631,84957.3691,77751.69963,93363.6582,77302.41693,94227.10503,84684.49297,104243.2483,74508.1436,83862.88636,82689.54245,85213.1317,53264.86232,60870.9979,68316.91676,52865.45171,57845.3436,54606.87842,46081.65585,52415.9088,50510.07263,54515.69046,56702.89254,42669.41626,66148.53834,58901.36733,48548.41792,60100.95756,61801.23274,75271.26413,53592.98188,47269.862,79476.4457,66048.4792,64708.96904,68109.27505,79373.60631,45739.45095,59560.57738,84633.40525,61225.36241,57811.22071,72470.48302,69013.26267,50589.08183,54876.21426,40833.14882,57492.08775
8,65470.01251,51924.39486,60025.70648,67788.37711,67126.49482,57887.81405,44975.06951,60385.76181,50749.13966,53696.63964,78398.58059,69255.6004,94320.93982,56320.60119,63309.19985,76277.47941,73085.75531,83100.74745,66632.50067,61191.78756,66855.95476,62450.04623,55642.39364,84288.29348,76706.36003,47193.7311,43708.83553,43750.86038,46629.93193,46886.09451,50521.97072,53371.41245,49163.98895,50145.12659,46397.19738,89800.5858,82816.31304,96999.76394,81334.34722,99467.15593,88527.20242,104834.8749,77400.31611,84986.48336,88014.53719,89441.95043,57018.94721,63052.66156,70953.85205,54234.34787,60957.70807,57903.02891,50263.17802,57515.09418,51988.11262,54165.60852,55937.4541,45760.11016,70225.64406,62535.18531,52795.85944,62033.8011,65435.05065,77503.45552,55840.91334,48178.88735,80191.83391,67254.25086,67981.46759,67965.24826,80114.55933,50197.68333,62819.33955,90921.47358,66312.7082,61650.34909,75270.54183,72855.96767,52837.01329,58810.85439,41691.61528,60047.77998
9,69830.58881,53866.41122,65116.25566,71400.05405,74217.52144,62163.69373,48620.33365,62236.11515,52161.51041,56682.52464,82333.21513,73033.44004,98512.98055,59954.41702,65985.20158,82720.96756,78159.13494,88419.3888,67594.11934,69302.11802,70120.09372,63880.82405,65028.47531,87781.65896,77479.22958,50839.68149,43351.14177,44823.94042,47710.46385,46813.41824,53210.99998,53478.86129,49793.83662,52144.37608,48895.35355,96323.82608,82089.54696,103472.0324,84899.56595,102059.8568,93366.83354,109688.4318,78853.83957,89066.31456,94095.34372,93521.29511,64566.02228,64216.60587,70759.94327,55912.48674,64174.23714,66587.61341,55503.2286,61137.92121,57097.59922,56592.56816,56318.459,45996.76353,72876.31525,64208.06904,58537.37002,69669.62486,66898.12932,83428.8295,55506.96368,48434.82165,83082.40341,71614.82717,68713.3084,72162.65433,85448.51579,53144.78052,67213.65087,94670.27627,64508.38618,64154.20873,82501.40558,77552.77665,56483.41845,62461.12423,43990.37507,62768.67211
10,79632.10199,57784.59715,67617.399,74856.64978,60025.02501,66511.91437,49657.46426,63126.36543,55324.49179,54233.59368,88771.71316,77036.93864,98512.97951,61787.49415,67061.00379,81346.63299,81321.94019,92053.20839,69867.36351,71847.39564,72623.95487,67959.22691,69028.19295,94396.52364,85031.33919,52160.85675,43129.52353,45551.16375,49975.46143,49436.10646,54743.53965,52479.10784,52337.51118,54217.21331,48344.58773,94893.0467,89391.91866,108479.7534,88551.70193,109864.5363,99211.65476,112074.074,79961.15989,91454.56538,103255.4739,98529.01543,67858.59811,64718.06073,71856.38463,59546.3039,68863.4723,76003.27456,61847.63769,66172.50922,59888.71787,59978.93713,61907.85044,47179.05632,78327.0408,66168.68514,59616.75548,72317.24667,69791.44445,91486.39691,58583.91717,52030.16773,83913.40018,72705.65456,72020.3686,72532.336,89787.80887,56677.59489,69772.66408,101095.4341,65421.31376,70296.96966,98863.8838,84006.10988,59558.90588,64557.14539,46045.0796,64546.37854
