Year,Agriculture - Agricultural Economics,Agriculture - Animal Sciences,Agriculture - General Agriculture ,ALL MAJORS,Arts - Art History and Criticism,Arts - Commercial Art and Graphic Design,Arts - Drama and Theater Arts,"Arts - Film, Video and Photographic Arts",Arts - Fine and Studio Arts,Arts - Music,Business - Accounting and Actuarial Science,Business - Business Management and Administration,Business - Finance,Business - Hospitality Management,Business - Human Resources and Personnel Management,Business - International Business and Business Economics,Business - Marketing and Marketing Research,Business - Operations and Logistics,Communications and Journalism - Advertising and Public Relations,Communications and Journalism - Communication Technologies,Communications and Journalism - Communications,Communications and Journalism - Journalism,Communications and Journalism - Mass Media,Computer Science and Mathematics - Computer Science,Computer Science and Mathematics - Mathematics and Statistics,Education - Art and Music Education,Education - Early Childhood Education,Education - Elementary Education,Education - General Education,Education - Language and Drama Education,Education - Math and Science Teacher Education,Education - Physical and Health Education Teaching,Education - Secondary Teacher Education,Education - Social Science or History Teacher Education,Education - Special Needs Education,Engineering - Aerospace Engineering,"Engineering - Biological, Biomedical, and Environmental Engineering",Engineering - Chemical Engineering,Engineering - Civil Engineering,Engineering - Computer Engineering,Engineering - Electrical Engineering,Engineering - Energy and Extraction Engineering,Engineering - Engineering Technologies,Engineering - General Engineering,Engineering - Industrial and Manufacturing Engineering,Engineering - Mechanical Engineering,Health - Health and Medical Administration,Health - Medical Technologies and Assistance,Health - Nursing,"Health - Physical Fitness, Nutrition, and Sports Studies",Health - Treatment Therapy Professions,"Humanities - Area, Ethnic, and Civilization Studies",Humanities - Composition and Speech,Humanities - English Language and Literature,Humanities - Liberal Arts,Humanities - Linguistics and Foreign Languages,Humanities - Philosophy and Religious Studies,Humanities - Theology and Religious Vocations,Life Sciences - Biochemistry and Molecular Biology,Life Sciences - Biology,"Life Sciences - Botany, Ecology, and Zoology","Life Sciences - Microbiology, Physiology, Genetics, and Neuroscience",Miscellaneous - Architecture,Miscellaneous - Construction Services,Miscellaneous - Environment and Natural Resources,Miscellaneous - Family and Consumer Sciences,Miscellaneous - Production and Transportation Technologies,Physical Sciences - Chemistry,Physical Sciences - Earth and Other Physical Sciences,Physical Sciences - Multidisciplinary Science,Physical Sciences - Physics,Social Sciences - Anthropology and Archeology,Social Sciences - Criminology and Criminal Justice,Social Sciences - Economics,Social Sciences - Geography,Social Sciences - History,Social Sciences - International Relations,Social Sciences - Political Science and Government,Social Sciences - Psychology,Social Sciences - Public Administration and Policy,Social Sciences - Social Work,Social Sciences - Sociology
1,42923.3342,37728.3747,49256.4849,45814.9562,33265.5907,37728.3747,27253.6352,32704.3643,38155.0831,34884.6477,56592.5569,47160.4658,54507.2704,44016.4423,40360.7869,52400.5187,43605.8122,56873.4173,38776.3894,41920.4129,38776.3894,39824.3938,40360.7869,62238.8315,59995.7696,39719.5913,33794.506,36410.8502,42923.3342,34584.3409,39245.2248,36680.3703,43996.4088,35997.4597,42923.3342,61086.6014,59957.9995,73360.7406,61048.1412,69750.4155,69769.3057,76358.2569,56687.5538,62880.6245,67631.5922,67604.256,38179.1233,59736.601,54507.2704,36680.3703,38179.1233,49056.5413,23715.1423,36680.3703,37557.92,45064.4467,39899.316,34884.6477,41425.5185,41451.629,32724.9643,37557.92,43633.2926,54507.2704,39824.3938,31440.3174,54507.2704,46112.4614,54541.6106,45425.2763,66531.1711,39824.3938,42923.3342,62138.2829,47996.6198,42923.3342,41920.4129,43605.8122,34884.6477,41920.4129,32488.3218,38155.0831
2,48584.56556,38529.59704,47946.09466,49803.22792,40168.68866,41655.13656,33301.01953,39218.7176,39410.19609,37970.64984,58688.58239,50241.42978,60698.95315,42666.04472,43269.67418,53520.26582,47682.02496,59948.90205,42792.94911,43600.8966,42142.04032,42349.68269,41971.49972,65256.07926,62164.6115,42080.23909,36611.51794,38890.36556,42938.36696,39033.18604,40139.56163,39252.93041,41124.98697,39724.95179,42669.41367,66823.9955,66900.41894,77489.66765,60349.20793,76997.19183,72512.92912,85448.52456,57438.58757,65540.23515,69005.6591,69575.01864,42170.14505,58067.29074,58764.27671,41090.82905,41668.72707,46832.75002,33199.53775,41069.84087,41729.20754,44558.84099,41077.07107,37583.37017,45598.15789,44221.23917,35783.24854,42212.93766,46168.94717,60512.6432,43530.22498,37506.24611,56180.15587,49902.39632,48812.0587,49900.77192,62187.7635,37465.09554,45049.41644,67238.90836,46645.46663,44250.81883,53141.00915,48047.09239,39253.47371,44927.56945,34313.88876,43372.66527
3,54275.37577,39926.94539,50435.02276,53745.09923,45442.64043,45259.68648,39239.64226,44923.81142,41227.10603,41241.08669,61286.06396,53429.03091,67568.476,43017.06508,46542.17118,55616.28881,51327.28937,62807.73771,47502.60331,45989.90764,46295.52058,44795.03889,44880.3861,69219.76275,65416.15985,43739.02808,38618.47615,40552.22104,42938.36828,44209.40521,44136.76342,41348.94899,40994.78835,42624.45131,41985.77344,74078.81364,75529.97788,84650.30182,62907.30459,79199.80103,74693.21809,98422.81902,60719.79566,69260.94201,71614.04689,72078.87962,45697.16831,56335.62555,62411.828,45226.52095,43250.13202,46200.72371,40374.83396,44395.78922,44108.55362,45633.60916,46685.05547,38681.52999,50653.83968,46766.51151,37394.23173,47874.16614,48392.68421,66666.77764,45090.74367,41570.56918,58373.26465,54562.46624,52093.18903,52928.10187,64333.93104,38734.72647,48208.47712,71236.10805,46998.77321,46361.86949,58840.73437,52407.67392,43006.1198,52757.00495,35847.21326,45916.33876
4,58165.12224,42571.39203,56723.08406,57771.19782,49451.05799,49333.12172,42293.97388,50374.53874,43531.9113,46546.31412,65128.77022,58037.05729,73382.58619,45919.78024,50178.27532,61797.67012,57025.46476,64740.58393,52408.35138,51509.43234,49931.62675,48872.60103,49076.00152,72724.16177,68674.61088,43294.27108,38976.17012,41333.68158,44240.97171,46839.57816,45795.03636,43902.23692,41425.52382,45531.50414,43918.95604,78620.19345,81253.08647,89604.12539,67631.271,79868.41139,78535.92423,100631.5329,64355.90002,74100.84188,75785.79989,74873.57349,49341.97183,54949.7395,64953.90982,48803.46431,48192.67293,48537.65186,41498.19949,46440.19384,45897.02628,48288.74871,52135.78278,40863.1971,55989.98268,49537.67664,41764.42761,54646.96762,51311.18701,68483.68764,49087.94522,43387.47849,60190.17253,56084.70285,55024.75881,54776.76041,72667.19778,43832.37728,51705.42271,75900.68563,49557.57455,50586.56337,62469.4814,56700.38005,47033.63922,57894.92833,37815.89096,48449.03135
5,63967.78249,45696.47596,58382.81553,61418.74641,49899.56396,52603.55848,44239.74254,52242.47841,45619.91501,48727.97391,68491.7851,61329.63404,77365.59201,49540.86636,55268.82367,66453.99605,62760.5628,72609.86626,59392.50633,56536.21935,54155.33304,51131.90634,55491.78296,76844.35261,73058.22798,44200.86347,39957.2999,42651.01412,45314.05637,48341.89283,49783.30522,45219.87544,43714.59891,45432.33555,43918.95607,82782.17168,83053.96957,94382.14612,71964.02096,84955.754,81727.44948,105553.2253,68447.27902,79126.64433,76768.94821,77439.13326,51591.43167,58583.5565,66700.59581,51416.53634,51463.11103,50979.6304,43315.10727,50074.01121,49237.31906,53510.40536,58538.51554,41578.58542,59483.35317,53114.61917,47776.95484,61633.70574,55674.51434,71562.85754,51252.5111,46249.03459,65000.67806,59368.64262,62178.64818,60028.45133,73016.38803,46645.47046,55634.51765,77717.5954,53805.01987,54624.49464,64973.34538,61964.94764,50025.39477,57838.58122,39420.58492,50909.40777
6,65785.83652,48994.51086,58734.29352,65455.36122,49525.88086,54591.97426,47101.29802,54895.16421,49628.78876,55632.22987,72830.22327,65672.01583,81397.51988,54140.31559,59618.87449,71214.35714,68214.72691,79438.84427,62470.14982,63579.30699,58538.05756,56371.96366,57298.39156,81204.93281,78896.94754,44937.47418,42137.90808,43454.48458,47358.45852,47636.4316,47966.39547,47332.27298,46348.66227,48349.86109,44966.96338,84160.10998,83508.95166,92098.87379,76310.1798,90943.31732,84906.28249,99830.53755,71308.83223,81694.00295,80232.25358,81471.06114,54551.55806,60765.21893,68849.48151,53234.59096,59666.83219,53065.18424,46403.85423,52690.36336,51805.50713,54880.99578,60590.97058,43159.98831,64238.983,57712.34861,51983.74621,62349.02236,59652.62541,71237.94032,56090.38802,48873.94005,70818.45156,61140.66095,62533.62329,67011.61553,75162.55388,51372.41074,57840.87244,83914.54946,59269.48233,60022.30823,73298.17855,68107.70793,52810.04854,55708.8683,41450.49663,57306.25553
7,67602.7471,55282.57256,57802.21898,69792.30698,73629.37513,58526.60948,52230.06467,61764.68424,52096.88227,58077.58788,77376.96232,69165.38494,90531.09218,55953.64515,63982.20648,76650.20158,74525.32512,85616.33045,66876.44254,65805.30682,65682.29083,60664.29252,59115.29778,84259.2636,82559.9222,47661.27565,45613.08988,44418.35692,47453.20025,49033.77847,50199.29145,50241.15876,48636.40666,49184.08059,46669.88975,85557.45701,81760.89768,94760.27111,78870.33073,94520.26115,87005.67155,109984.5819,77392.35833,85587.52169,83122.82292,86158.25075,57359.78198,64522.66145,71125.99927,54245.79531,65027.1707,55659.43771,49873.69382,57799.84557,55700.94078,60229.95944,64598.93723,44354.11219,71407.11122,62436.31283,56385.29251,67055.49725,64178.98119,76705.83902,57819.45144,51355.65079,78812.84653,67709.51848,68686.60198,72406.07473,87541.57001,51372.41059,62029.33693,90353.04928,66256.21952,62450.04601,76671.34078,73945.76641,55691.13169,57852.31796,43769.64939,61656.05879
8,66890.6364,56746.57019,63228.43367,73428.41583,77544.19821,61447.39845,55738.45578,65759.51055,56995.61753,64244.77796,82124.28118,73457.71601,96729.18542,59591.03733,68329.50999,80664.56777,77804.44029,86623.21438,69769.30279,66306.76199,72223.15996,68891.26531,59115.29817,87611.87099,85448.52143,49198.35755,45613.08948,45254.79029,48434.82,48906.39824,52379.5834,55362.019,50707.91172,52092.96591,47991.7403,90128.89944,91208.82339,98715.67224,83837.6306,99265.1662,90854.39013,114153.1554,81300.41747,86635.52861,88447.81766,90719.71273,61291.70241,67173.32835,73871.85456,56710.45479,69145.41174,74159.27145,57157.78454,63250.57325,57131.71974,59658.33,65844.1619,47499.64867,77273.98509,66019.55294,57359.50425,71619.40611,68491.78549,79884.67324,59607.92527,51784.88468,78543.71613,69876.30384,70938.0489,71665.11992,87898.65089,55619.85211,64574.61044,95824.37861,68073.12772,66760.04913,80248.28795,77439.13062,59822.98628,63292.74502,45327.38646,64086.39733
9,72427.0691,58688.58654,69007.81285,77363.05848,90644.25879,68316.92143,57067.25702,67939.80104,59411.68094,66061.6879,87085.89761,77392.35866,100845.6427,62325.97446,70503.50516,89066.30825,83258.60053,92520.60914,71948.98828,73444.49637,76961.7511,70637.94565,70016.74947,90733.83011,85812.13316,52776.61858,46159.55981,47106.45882,49535.95057,49986.47295,55002.27246,56393.65364,50254.13764,53140.9745,50786.43602,96067.61978,90038.45246,105722.9076,87345.7165,104163.0326,96473.83939,119006.7123,84208.75208,90827.56493,95829.71918,94374.136,67514.90025,71849.74435,75359.07781,60332.8246,71343.87003,101804.905,64425.41587,67616.23218,62915.01754,63151.69732,65246.14717,48090.52257,79408.16549,68679.16015,62292.29165,78835.24931,71500.41116,87326.67586,59569.70841,53511.40438,81452.6032,75327.02928,72177.636,75583.40892,90518.11995,56379.37292,69611.37572,100686.9093,67216.69356,69047.64462,87533.27795,83307.43209,63474.11176,66163.41724,48104.04328,67880.26542
10,81531.07227,59206.76217,70638.56202,80981.31101,70526.74498,73682.34081,57380.05782,68337.91411,65555.11926,64366.38554,93813.23535,82009.32571,102273.0313,69597.18507,71943.29628,87538.24255,86875.24694,95284.87272,74529.43108,78912.16028,79583.92549,74255.30997,75532.33694,96893.46084,94175.17447,54147.20629,44619.25716,48145.67258,52359.93695,50753.68925,57141.86245,55993.67973,55118.0933,56360.22499,50422.82579,95391.47984,96942.7121,112007.2396,91569.77451,113192.2791,102196.9532,109688.4346,83943.00029,93326.43757,105186.2258,99256.13139,70503.50117,71151.07111,76342.22331,65059.76687,76085.00478,118492.7772,70506.21945,72698.15124,65109.50337,68247.72514,70339.89582,48805.91346,81912.02512,71601.7793,62241.7126,83425.4673,74957.00689,94940.51904,62015.06675,59201.3156,84982.74807,77073.71356,75828.6222,77073.7116,90494.08259,59690.08122,72327.16449,105582.6997,67216.69617,75335.70461,103870.5786,89832.13638,67837.44472,68800.3538,50361.20627,70517.20197
