Year,Accounting and Actuarial Science,advertising and public relations,aerospace engineering,agriculture production and management,animal sciences,anthropology and archeology,architecture,"area, ethnic, and civilization studies",art and music education,art history and criticism,Average of all Majors,Biochemistry and Molecular Biology,biology,"Botany, Ecology, and Zoology",business economics,business management and administration,Chemical and Biological Engineering,chemistry,Civil and Architectural Egineering,commercial art and graphic design,communication disorders sciences and services,communication technologies,communications,community and public health,composition and speech,computer engineering,computer science,construction services,criminal justice and fire protection,criminology,drama and theater arts,early childhood education,economics,electrical engineering,elementary education,Energy and Extraction Engineering,engineering technologies,english language and literature,environmental science,family and consumer sciences,"film, video and photographic arts",finance,fine arts,forestry,general agriculture,general education,general engineering,general medical and health services,General Physical Science,general social sciences,geography,Geology and Earth Science,health and medical administrative services,history,hospitality management,human resources and personnel management,human services and community organization,Industrial and Environmental Engineering,intercultural and international studies,interdisciplinary and multi-disciplinary studies (general),interdisciplinary social sciences,international business,international relations,journalism,language and drama education,liberal arts,Linguistics and Foreign Languages,management information systems and statistics,marketing and marketing research,mass media,Math and Science Teacher Education,Mathematics and Statistics,"Mechanical, Biomedical, and Marine Engineering",medical assisting services,medical technologies technicians,"Microbiology, Physiology, Pharmacology, Genetics, and Neuroscience",music,natural resources management,nursing,nutrition sciences,"operations, logistics and e-commerce",philosophy and religious studies,physical and health education teaching,"physical fitness, parks, recreation, and leisure","Physics, Astronomy, and Astrophysics",plant science and agronomy,political science and government,psychology,Public Administration and Public Policy,secondary teacher education,social science or history teacher education,social work,sociology,special needs education,studio arts,theology and religious vocations,transportation sciences and technologies,treatment therapy professions,visual and performing arts
1,31961.957,26472.945,38832.664,26634.965,15883.768,15883.768,30079.244,22559.434,21485.174,20455.652,25414.027,21178.355,20303.49,16710.027,32442.613,26634.965,42970.348,26102.266,45082.777,24707.951,21178.355,16710.027,23565.996,25615.213,15671.983,44474.547,37485.691,45812.141,21209.396,22237.273,15883.768,21723.035,37599.055,42970.348,26109.418,43415.629,32787.473,20492.17,23296.191,21485.174,16113.881,37928.191,19843.158,20492.17,20887.535,25782.209,42356.711,20492.17,26856.469,21178.355,25065.041,21307.973,26109.418,18692.102,23565.996,27700.363,22559.434,35861.301,20492.17,20887.535,15369.128,35861.301,26639.822,26639.822,19336.658,20492.17,20492.17,43681.344,30079.244,20887.535,30079.244,30738.256,44699.324,21307.973,31331.303,22872.625,15883.768,19177.174,35508.809,21307.973,47651.301,20492.17,20492.17,15980.979,36885.906,22559.434,27531.863,20887.535,30738.256,24504.168,22976.287,19336.658,21178.355,20887.535,16942.686,18154.973,23633.691,19336.658,11719.385
2,36553.184,30738.256,58240.48,31762.865,21707.814,22554.949,33240.438,26472.945,30738.256,25414.027,29033.674,29242.549,23296.191,20887.535,37599.055,30738.256,55063.727,28689.039,51139.133,25065.041,22343.166,25569.566,28061.322,27153.795,15980.979,53269.93,42970.348,42970.348,25569.566,26472.945,20492.17,21721.701,40485.145,51230.426,26634.965,53712.938,31961.957,25414.027,24590.605,24504.168,24020.664,40984.34,19060.521,21178.355,25569.566,29831.16,47651.301,24930.326,29649.699,25782.209,26109.418,26109.418,28689.039,24249.219,26634.965,33607.16,22559.434,48668.906,28765.762,20887.535,28765.762,37599.055,31767.535,25782.209,28253.004,21485.174,22871.85,44058.168,31767.535,25782.209,32787.473,32172.709,53269.93,31331.303,37599.055,30079.244,23633.691,22541.389,42615.945,25615.213,40284.703,24707.951,20887.535,21931.912,30286.926,32227.762,30738.256,25036.867,34464.434,33027.355,19060.521,25065.041,23438.77,33302.02,18623.168,21485.174,29004.986,25414.027,21178.355
3,37599.055,31961.957,60158.488,31961.957,23296.191,26639.822,36553.184,31331.303,31961.957,30079.244,31767.535,30738.256,26472.945,21485.174,38121.043,33027.355,58596.922,34376.281,51139.133,29967.375,29242.549,28198.172,31331.303,26109.418,26109.418,43361.723,47267.383,44281.574,29242.549,25414.027,20492.17,25615.213,43863.824,56353.469,30079.244,61476.512,40984.34,26634.965,25065.041,26109.418,26856.469,41775.07,26472.945,31961.957,33516.871,31331.303,36553.184,26472.945,26634.965,24590.605,32375.678,35861.301,31331.303,27531.863,29649.699,34376.281,26639.822,43033.559,27153.795,29756.967,21485.174,40238.875,35861.301,30363.859,32227.762,26109.418,26472.945,46877.539,36553.184,25782.209,32375.678,41775.07,55861.453,30738.256,31767.535,30738.256,24504.168,24590.605,46407.977,29831.16,50410.742,27593.824,28590.781,25782.209,37288.949,23438.77,32271.24,26472.945,31961.957,34092.754,32826.453,27531.863,26631.607,31767.535,21485.174,23438.77,32787.473,30738.256,25414.027
4,38887.047,31767.535,52945.891,34836.691,26472.945,23296.191,37062.125,29831.16,31767.535,26472.945,32375.678,33302.02,27531.863,23438.77,42970.348,33885.371,64455.523,37062.125,52945.891,31767.535,28689.039,31767.535,32787.473,31961.957,24488.145,63525.73,42970.348,42144.93,31122.426,25065.041,25414.027,27664.43,42615.945,59529.473,31961.957,58596.922,36885.906,28689.039,34944.289,26472.945,26856.469,42970.348,25414.027,34944.289,37597.563,31767.535,52218.836,25615.213,31767.535,26639.822,28590.781,36003.207,30738.256,29831.16,31767.535,36524.797,28689.039,58485.098,30286.926,26639.822,31331.303,37062.125,35861.301,33516.871,36543.172,26634.965,29298.461,44259.461,36553.184,29542.115,35450.539,40238.875,58240.48,39419.746,33885.371,30738.256,25065.041,25065.041,47651.301,30738.256,48341.645,26528.426,31331.303,28198.172,30738.256,31767.535,34092.754,29004.986,32227.762,33302.02,34944.289,27955.43,29831.16,33812.082,24355.109,24078.301,31961.957,31331.303,25615.213
5,42356.711,37597.563,62307.008,36885.906,29242.549,30079.244,36223.551,32227.762,32227.762,33779.477,34836.691,35508.809,31331.303,28689.039,37599.055,35450.539,53269.93,35158.152,56353.469,34376.281,31961.957,26472.945,34092.754,33420.055,26840.482,57440.719,47804.516,47942.938,32227.762,29831.16,25615.213,26634.965,44746.742,61476.512,31767.535,59427.297,43863.824,31331.303,31961.957,26109.418,26634.965,47131.992,25378.354,26109.418,40984.34,33885.371,52945.891,31961.957,31331.303,29543.807,32227.762,36135.434,33027.355,32375.678,31331.303,32826.453,27531.863,58596.922,34944.289,29649.699,31961.957,33420.055,39686.316,34376.281,37062.125,27153.795,29756.967,51174.461,40821.832,31331.303,35861.301,37288.949,63525.73,33355.91,44746.742,31331.303,26472.945,32281.578,46996.953,32227.762,42615.945,30470.4,32787.473,30738.256,35477.773,32375.678,34092.754,29831.16,36885.906,35861.301,31109.639,30079.244,31961.957,32227.762,25782.209,26639.822,36885.906,31961.957,27700.363
6,42862.922,40984.34,69826.82,36202.52,27153.795,30738.256,42615.945,35861.301,34092.754,32787.473,36553.184,40238.875,34376.281,31331.303,50130.082,37599.055,55328.859,35861.301,53269.93,35861.301,27664.43,32227.762,36524.797,31767.535,33302.02,62662.605,46996.953,45812.141,34464.434,33302.02,25615.213,29831.16,47651.301,61476.512,33812.082,58240.48,51230.426,30738.256,33355.91,30708.617,29831.16,47651.301,28689.039,38121.043,35451.457,32787.473,52218.836,33885.371,34945.074,31238.076,40821.832,42008.949,30738.256,32375.678,35508.809,36223.551,27531.863,56122.645,33027.355,33420.055,34046.68,39179.961,41775.07,37597.563,38354.348,31331.303,36003.207,42615.945,40984.34,33420.055,34944.289,42970.348,63535.07,39747.574,46107.383,35861.301,31961.957,32227.762,49769.137,33302.02,47942.938,28590.781,31961.957,34626.613,40272.066,36524.797,38888.168,31331.303,32787.473,31961.957,32787.473,31331.303,31961.957,36223.551,24020.664,25615.213,42615.945,28198.172,25065.041
7,45812.141,42356.711,59299.398,36003.207,31331.303,32227.762,42970.348,31331.303,36553.184,30738.256,37599.055,39747.574,34464.434,31961.957,47131.992,40472.039,69826.82,36885.906,59529.473,36553.184,32375.678,36553.184,38935.125,35508.809,29831.16,58009.973,48981.27,57440.719,34944.289,36553.184,27593.824,31767.535,48156.602,66054.711,33885.371,63535.07,46107.383,32227.762,31767.535,30738.256,28689.039,52218.836,29831.16,32787.473,38354.348,35158.152,59084.23,31767.535,37062.125,29138.111,32787.473,31967.787,37597.563,35158.152,34464.434,37062.125,25414.027,62307.008,38673.316,36214.988,31153.504,42970.348,36330.094,39686.316,33885.371,32227.762,31331.303,47267.383,41896.09,32227.762,34464.434,46996.953,63923.914,31961.957,41681.238,40821.832,31331.303,34464.434,50205.82,41775.07,51564.418,31961.957,31961.957,33885.371,39419.746,36003.207,38433.063,32227.762,38119.75,32787.473,37599.055,27780.422,32787.473,32826.453,30738.256,26639.822,37599.055,31331.303,32787.473
8,45952.574,46722.148,69826.82,40485.145,32787.473,31961.957,42615.945,30079.244,33420.055,34518.914,39686.316,40984.34,36553.184,31331.303,46107.383,42356.711,66599.555,42356.711,58240.48,36003.207,31767.535,30078.049,40821.832,31762.865,30738.256,63923.914,53269.93,58485.098,37288.949,35451.457,30738.256,31767.535,54787.195,66840.109,32787.473,73771.813,52218.836,33302.02,33885.371,32375.678,32227.762,52945.891,32227.762,37288.949,40821.832,32227.762,59662.32,33885.371,37910.516,35861.301,40984.34,36553.184,32227.762,34944.289,37288.949,35861.301,33106.742,56935.715,34836.691,39419.746,30738.256,40984.34,38354.348,42462.605,36223.551,33420.055,37599.055,52945.891,44058.168,37062.125,31961.957,40984.34,67678.297,47651.301,47131.992,40984.34,33240.438,36885.906,50490.16,34146.023,52945.891,31331.303,32787.473,35584.313,53263.215,31767.535,40730.691,33038.234,43033.559,38433.063,36553.184,31331.303,36003.207,35861.301,28720.359,26639.822,44386.012,32227.762,31331.303
9,45533.465,45118.867,76708.695,48341.645,27664.43,31767.535,42356.711,32227.762,34836.691,37062.125,40984.34,46996.953,39603.527,32375.678,58240.48,42356.711,73106.367,41775.07,63535.07,37599.055,32787.473,38955.25,41775.07,38673.316,31767.535,69826.82,54004.809,64455.523,37061.926,41775.07,31331.303,29831.16,48710.219,71722.602,32826.453,86831.258,52218.836,35158.152,36553.184,32375.678,33420.055,52945.891,31331.303,37288.949,39686.316,33420.055,57440.719,37062.125,42356.711,38121.043,38354.348,38121.043,36850.34,37599.055,40238.875,41775.07,28239.947,58596.922,42356.711,35158.152,33027.355,42615.945,43863.824,40821.832,37803.367,34376.281,36214.988,56122.645,47651.301,36885.906,40485.145,46107.383,68928.867,40984.34,44044.609,46592.383,30738.256,40984.34,50828.055,37491.629,48341.645,34376.281,36223.551,35861.301,42970.348,33302.02,46131.758,35158.152,44474.547,35041.613,36885.906,31961.957,36885.906,36524.797,32227.762,31767.535,49769.137,32992.395,28689.039
10,46107.383,47651.301,67770.742,41775.07,31961.957,36003.207,51230.426,34324.387,36524.797,38935.125,41775.07,42615.945,40984.34,27664.43,52218.836,43033.559,75198.109,46107.383,62662.605,34591.133,32826.453,39686.316,42615.945,33812.082,28273.105,73106.367,57378.078,58596.922,38354.348,41775.07,35861.301,28689.039,53712.938,71381.703,35158.152,79372.633,55400.727,38121.043,42615.945,31961.957,40821.832,57440.719,32787.473,44686.332,22978.516,35861.301,58596.922,36553.184,42615.945,32227.762,37062.125,43863.824,32375.678,36885.906,35861.301,41775.07,33885.371,66599.555,31767.535,41775.07,28061.322,37062.125,51230.426,41775.07,34913.41,33027.355,37599.055,55861.453,47519.141,38935.125,36885.906,46592.383,74577.898,46996.953,47651.301,44281.574,34119.465,30079.244,52218.836,41701.566,58009.973,37062.125,35861.301,35861.301,49239.68,35508.809,40984.34,36553.184,35450.539,38673.316,42008.949,34376.281,39686.316,35473.746,31331.303,33240.438,47942.938,37288.949,31767.535
