Year,Accounting and Actuarial Science,advertising and public relations,aerospace engineering,agriculture production and management,animal sciences,anthropology and archeology,architecture,"area, ethnic, and civilization studies",art and music education,art history and criticism,Average of all Majors,Biochemistry and Molecular Biology,biology,"Botany, Ecology, and Zoology",business economics,business management and administration,Chemical and Biological Engineering,chemistry,Civil and Architectural Egineering,commercial art and graphic design,communication disorders sciences and services,communication technologies,communications,community and public health,composition and speech,computer engineering,computer science,construction services,criminal justice and fire protection,criminology,drama and theater arts,early childhood education,economics,electrical engineering,elementary education,Energy and Extraction Engineering,engineering technologies,english language and literature,environmental science,family and consumer sciences,"film, video and photographic arts",finance,fine arts,forestry,general agriculture,general education,general engineering,general medical and health services,General Physical Science,general social sciences,geography,Geology and Earth Science,health and medical administrative services,history,hospitality management,human resources and personnel management,human services and community organization,Industrial and Environmental Engineering,intercultural and international studies,interdisciplinary and multi-disciplinary studies (general),interdisciplinary social sciences,international business,international relations,journalism,language and drama education,liberal arts,Linguistics and Foreign Languages,management information systems and statistics,marketing and marketing research,mass media,Math and Science Teacher Education,Mathematics and Statistics,"Mechanical, Biomedical, and Marine Engineering",medical assisting services,medical technologies technicians,"Microbiology, Physiology, Pharmacology, Genetics, and Neuroscience",music,natural resources management,nursing,nutrition sciences,"operations, logistics and e-commerce",philosophy and religious studies,physical and health education teaching,"physical fitness, parks, recreation, and leisure","Physics, Astronomy, and Astrophysics",plant science and agronomy,political science and government,psychology,Public Administration and Public Policy,secondary teacher education,social science or history teacher education,social work,sociology,special needs education,studio arts,theology and religious vocations,transportation sciences and technologies,treatment therapy professions,visual and performing arts
1,37288.949,31331.303,53269.93,31961.957,19467.563,15883.768,23438.77,22872.625,22022.305,21178.355,26472.945,20887.535,18442.953,17259.457,51230.426,30738.256,51230.426,25782.209,51139.133,24707.951,17725.27,21307.973,23296.191,20887.535,19007.656,61417.234,46996.953,52945.891,23296.191,24493.1,15039.622,22559.434,39179.961,53269.93,27664.43,44259.461,42970.348,20492.17,23498.477,24397.627,16393.736,42356.711,15874.439,31767.535,26856.469,27153.795,52218.836,15883.768,25569.566,17578.035,29713.648,20492.17,26634.965,19843.158,26856.469,35450.539,25569.566,40984.34,21485.174,13965.363,17754.404,29004.986,30738.256,29242.549,21307.973,20410.916,19177.174,48710.219,33027.355,18262.398,20887.535,34836.691,51564.418,25615.213,38354.348,21307.973,14344.52,25615.213,40027.094,20492.17,51230.426,18262.398,15369.128,15980.979,31961.957,31331.303,28659.223,20887.535,30738.256,24504.168,23096.563,20119.438,21178.355,19390.254,14824.85,18154.973,31331.303,18262.398,15665.651
2,44474.547,36553.184,63381.266,35861.301,29713.648,25615.213,35144.074,25615.213,36223.551,27593.824,34151.117,30738.256,26109.418,20887.535,41775.07,37288.949,63535.07,32227.762,56353.469,30738.256,22343.166,27700.363,32787.473,31767.535,16113.881,64455.523,52945.891,53712.938,30738.256,27531.863,20492.17,32227.762,48041.328,62662.605,32227.762,66599.555,41550.547,26472.945,26472.945,25782.209,24590.605,48341.645,18442.953,37288.949,31961.957,33240.438,56396.344,27531.863,32897.867,31153.504,29649.699,30079.244,32375.678,27989.297,32227.762,37062.125,26472.945,61476.512,31961.957,26856.469,31331.303,42615.945,38673.316,31961.957,31153.504,26472.945,26109.418,56353.469,38641.938,28689.039,37599.055,41896.09,61476.512,37599.055,40730.691,29242.549,20887.535,26634.965,48710.219,30738.256,52945.891,27664.43,25995.725,25459.932,37597.563,42615.945,35861.301,26856.469,37599.055,37062.125,35861.301,28689.039,27152.127,37599.055,21307.973,25065.041,34305.836,29298.461,21178.355
3,48668.906,39686.316,66599.555,42356.711,28590.781,31767.535,42356.711,32227.762,37599.055,31331.303,38935.125,35508.809,31767.535,28590.781,51696.648,42615.945,71017.617,40821.832,58009.973,35861.301,30079.244,35861.301,37599.055,31331.303,26109.418,63381.266,61476.512,58596.922,36532.664,35451.457,25065.041,29831.16,54787.195,67884.484,35861.301,69250.906,51230.426,31331.303,32227.762,31767.535,27930.727,53269.93,30738.256,32227.762,39747.574,36532.664,56353.469,33420.055,38641.938,25414.027,40730.691,42189.785,37597.563,31767.535,37288.949,42356.711,30738.256,61476.512,31331.303,29831.16,27700.363,48156.602,44474.547,37288.949,36030.996,31153.504,31331.303,59299.398,42615.945,31762.865,37288.949,49221.414,63923.914,38354.348,37599.055,36553.184,26472.945,31961.957,53269.93,32814.277,58402.688,33885.371,31961.957,31767.535,45082.777,29649.699,40821.832,31331.303,31961.957,37597.563,36003.207,32787.473,31767.535,37599.055,24224.535,26749.043,43415.629,35158.152,26856.469
4,51230.426,41775.07,66599.555,42615.945,31961.957,29831.16,42615.945,37288.949,37062.125,30738.256,41775.07,42970.348,33885.371,28233.063,54307.59,42615.945,76242.086,44581.738,59529.473,37910.516,33027.355,37193.289,40984.34,38354.348,27849.539,74124.25,57378.078,60727.719,37597.563,39419.746,28198.172,31331.303,57440.719,73106.367,36553.184,75195.125,49181.211,34092.754,40984.34,31767.535,31331.303,57378.078,29437.916,42970.348,50828.055,36885.906,63923.914,32085.209,42356.711,35861.301,37062.125,40821.832,38121.043,36553.184,37288.949,42356.711,31767.535,69250.906,37597.563,31153.504,32227.762,42970.348,45812.141,38935.125,39686.316,31767.535,33942.242,60158.488,45004.008,35861.301,39959.734,51230.426,67884.484,42615.945,46107.383,36320.883,27531.863,31331.303,54307.59,34944.289,60573.852,31767.535,36553.184,34414.828,42615.945,37288.949,41775.07,32375.678,37288.949,39179.961,40984.34,31961.957,36553.184,37597.563,27152.127,30738.256,46996.953,35144.074,28720.359
5,52945.891,47942.938,71722.602,47651.301,41775.07,31767.535,47651.301,37910.516,39686.316,42356.711,42970.348,42970.348,37599.055,34836.691,42970.348,46193.125,77774.094,40984.34,66054.711,40984.34,35861.301,32227.762,42356.711,39747.574,31260.93,69888.578,62501.121,61476.512,39179.961,37062.125,31250.561,32787.473,60158.488,71722.602,36553.184,80477.75,58240.48,36223.551,40591.688,31331.303,33355.91,62307.008,31961.957,36553.184,46107.383,38354.348,67120.109,38354.348,42008.949,36553.184,37910.516,41775.07,41775.07,38354.348,39686.316,42356.711,32375.678,66604.039,37599.055,34944.289,38121.043,46451.379,49181.211,43681.344,39313.207,34944.289,32826.453,64989.313,50130.082,36223.551,40730.691,50130.082,73065.328,42008.949,52945.891,37288.949,31767.535,40984.34,53279.645,36553.184,55400.727,33524.492,36850.34,36202.52,50205.82,38673.969,43863.824,35861.301,38673.316,38354.348,40238.875,32787.473,38641.938,39179.961,27571.545,33087.168,52416.434,37599.055,30738.256
6,57378.078,50828.055,74796.422,44474.547,34376.281,34119.465,49085.707,40984.34,36954.5,40821.832,46107.383,48341.645,40984.34,37062.125,62307.008,48341.645,81968.68,46996.953,63706.98,41775.07,37599.055,42356.711,44058.168,36553.184,38121.043,76242.086,63923.914,65522.012,42970.348,41297.793,31767.535,34376.281,63525.73,74577.898,37599.055,81968.68,64593.988,37599.055,46107.383,34836.691,36524.797,63923.914,31767.535,50828.055,43863.824,39747.574,69250.906,40485.145,47942.938,38354.348,46592.383,45082.777,37910.516,42356.711,42615.945,42615.945,31331.303,70018.297,44474.547,42356.711,36783.445,51564.418,51230.426,45118.867,42356.711,35158.152,42192.82,63923.914,52218.836,40485.145,39747.574,53712.938,73771.813,36885.906,51230.426,43033.559,34092.754,41550.547,57440.719,40984.34,60358.316,35861.301,38935.125,41297.793,52218.836,47131.992,47942.938,36553.184,38354.348,36553.184,36885.906,32375.678,37715.109,40485.145,27806.902,31331.303,54787.195,37288.949,25615.213
7,58485.098,53269.93,82595.586,46300.551,35508.809,37062.125,51564.418,36524.797,39686.316,36223.551,48041.328,59662.32,42356.711,38121.043,59084.23,52218.836,81968.68,48341.645,69250.906,42615.945,35861.301,42970.348,47942.938,45533.465,40984.34,77346.633,67120.109,71975.336,44058.168,42008.949,35822.121,36524.797,63923.914,76845.641,37597.563,78894.859,59084.23,40485.145,38354.348,34944.289,32227.762,69826.82,37440.906,41896.09,52945.891,40984.34,72447.102,37062.125,50130.082,40984.34,42356.711,41896.09,44058.168,42008.949,40984.34,46996.953,30079.244,74124.25,43415.629,40984.34,41775.07,52945.891,48341.645,50073.734,38673.316,39179.961,40821.832,64455.523,53269.93,42356.711,39747.574,60727.719,76845.641,43863.824,50205.82,49008.336,38354.348,38121.043,58485.098,47651.301,63381.266,37821.648,39686.316,41775.07,45812.141,52945.891,51139.133,38121.043,51230.426,37288.949,42615.945,31322.719,40485.145,38935.125,36223.551,35508.809,57531.523,41896.09,34376.281
8,60158.488,57378.078,88428.086,53712.938,41775.07,41775.07,56122.645,37910.516,42615.945,42615.945,51139.133,49181.211,42970.348,40984.34,68648.773,53269.93,87362.688,52218.836,71722.602,45533.465,40984.34,36885.906,49085.707,38888.168,34092.754,79418.836,71381.703,73106.367,47651.301,48341.645,36373.602,35450.539,73065.328,78328.258,37599.055,95302.602,70947.492,40485.145,43545.863,37288.949,44058.168,68829.656,40984.34,48341.645,55063.727,38354.348,73106.367,40485.145,47942.938,41775.07,50205.82,42356.711,38935.125,42970.348,46592.383,44746.742,36885.906,71975.336,51027.289,46722.148,32787.473,61232.746,50073.734,52416.434,42008.949,40984.34,44746.742,64455.523,58009.973,44058.168,38730.203,56353.469,82595.586,48286.652,51230.426,52218.836,39959.734,46996.953,56935.715,40984.34,71722.602,35861.301,40984.34,41775.07,75195.125,49415.902,54335.328,40485.145,51230.426,42356.711,42615.945,33885.371,44746.742,39686.316,32227.762,33420.055,62662.605,42819.445,31331.303
9,59529.473,56122.645,87890.18,65795.734,38121.043,38422.82,53712.938,45533.465,40984.34,42615.945,52218.836,57531.523,49769.137,40344.77,75198.109,53279.645,89816.398,51886.973,78328.258,46824.609,32787.473,49607.895,52255.035,45533.465,38015.313,88089.219,74124.25,81968.68,46945.105,51886.695,34376.281,36578.523,73106.367,83550.141,37062.125,104203.09,71381.703,42008.949,43545.863,37288.949,43863.824,73771.813,37597.563,46996.953,51230.426,39686.316,74577.898,44474.313,51886.973,38935.125,45812.141,55351.965,41775.07,47651.301,49769.137,54307.59,34464.434,81968.68,46996.953,38641.938,42615.945,52945.891,50130.082,51230.426,40984.34,42970.348,40238.875,71722.602,61476.512,44044.609,44044.609,62325.816,83550.141,49008.336,54307.59,54004.809,39686.316,47651.301,59299.398,42615.945,68829.656,45004.008,42615.945,42356.711,62662.605,37062.125,58485.098,41775.07,46996.953,39959.734,40984.34,36885.906,46996.953,39686.316,35508.809,38354.348,71722.602,42296.324,31767.535
10,60573.852,59662.32,85042.508,63535.07,37288.949,40984.34,61417.234,46107.383,42356.711,43415.629,53279.645,59119.914,51174.461,37062.125,75198.109,57440.719,95288.594,55861.453,79372.633,45812.141,37288.949,49415.902,53712.938,42356.711,43829.758,92214.766,76845.641,79418.836,48341.645,52945.891,42356.711,35861.301,76845.641,85940.695,39686.316,102269.43,75821.031,47267.383,47942.938,33087.168,51230.426,79418.836,40984.34,47131.992,38121.043,41017.844,78328.258,42615.945,53712.938,42970.348,46193.125,55400.727,41775.07,44746.742,48341.645,56353.469,38935.125,77301,38121.043,49181.211,40821.832,50130.082,61476.512,52945.891,40238.875,39709.418,42970.348,75198.109,63535.07,50828.055,42008.949,60358.316,86297.289,49008.336,57440.719,53269.93,39739.367,40984.34,58596.922,49181.211,67624.164,41775.07,44746.742,43443.402,62476.152,51564.418,53712.938,44366.887,45082.777,42192.82,46788.078,38935.125,50490.16,38121.043,35508.809,40521.816,68185.508,46107.383,31961.957
