Year,Accounting and Actuarial Science,advertising and public relations,aerospace engineering,agriculture production and management,animal sciences,anthropology and archeology,architecture,"area, ethnic, and civilization studies",art and music education,art history and criticism,Average of all Majors,Biochemistry and Molecular Biology,biology,"Botany, Ecology, and Zoology",business economics,business management and administration,Chemical and Biological Engineering,chemistry,Civil and Architectural Egineering,commercial art and graphic design,communication disorders sciences and services,communication technologies,communications,community and public health,composition and speech,computer engineering,computer science,construction services,criminal justice and fire protection,criminology,drama and theater arts,early childhood education,economics,electrical engineering,elementary education,Energy and Extraction Engineering,engineering technologies,english language and literature,environmental science,family and consumer sciences,"film, video and photographic arts",finance,fine arts,forestry,general agriculture,general education,general engineering,general medical and health services,General Physical Science,general social sciences,geography,Geology and Earth Science,health and medical administrative services,history,hospitality management,human resources and personnel management,human services and community organization,Industrial and Environmental Engineering,intercultural and international studies,interdisciplinary and multi-disciplinary studies (general),interdisciplinary social sciences,international business,international relations,journalism,language and drama education,liberal arts,Linguistics and Foreign Languages,management information systems and statistics,marketing and marketing research,mass media,Math and Science Teacher Education,Mathematics and Statistics,"Mechanical, Biomedical, and Marine Engineering",medical assisting services,medical technologies technicians,"Microbiology, Physiology, Pharmacology, Genetics, and Neuroscience",music,natural resources management,nursing,nutrition sciences,"operations, logistics and e-commerce",philosophy and religious studies,physical and health education teaching,"physical fitness, parks, recreation, and leisure","Physics, Astronomy, and Astrophysics",plant science and agronomy,political science and government,psychology,Public Administration and Public Policy,secondary teacher education,social science or history teacher education,social work,sociology,special needs education,studio arts,theology and religious vocations,transportation sciences and technologies,treatment therapy professions,visual and performing arts
1,44746.742,34092.754,61476.512,35861.301,27153.795,25414.027,38121.043,31961.957,35861.301,25569.566,36553.184,31762.865,27930.727,24020.664,51564.418,37599.055,64751.355,35508.809,53279.645,33885.371,30896.559,29831.16,34092.754,33885.371,23633.691,68752.563,58485.098,53712.938,31331.303,28689.039,21311.857,34119.465,48041.328,62662.605,34092.754,66599.555,46996.953,30738.256,30738.256,27664.43,25414.027,51230.426,30738.256,31767.535,35508.809,36553.184,59084.23,31331.303,40984.34,26856.469,34092.754,32068.498,34092.754,27531.863,31767.535,38935.125,25569.566,58240.48,31767.535,25615.213,22976.287,47942.938,38673.316,34625.453,33197.316,33027.355,30255.594,55063.727,39952.445,31331.303,34464.434,44746.742,59662.32,35450.539,41775.07,32227.762,25065.041,31762.865,47651.301,26856.469,57440.719,31961.957,33027.355,24590.605,52945.891,31767.535,38121.043,27700.363,32227.762,36885.906,26856.469,28378.998,29004.986,30738.256,24020.664,26634.965,36850.34,29242.549,20492.17
2,50205.82,39952.445,66599.555,40238.875,31767.535,31767.535,41775.07,35508.809,37910.516,37719.371,40821.832,38641.938,33885.371,31331.303,52218.836,41775.07,67120.109,38121.043,58596.922,37398.211,31961.957,32227.762,37288.949,35861.301,26472.945,69826.82,61793.117,54304.254,33420.055,31767.535,26472.945,34092.754,52218.836,66604.039,34836.691,71722.602,49181.211,32402.885,33027.355,31331.303,31961.957,52218.836,27153.795,38641.938,37288.949,36553.184,61476.512,34092.754,38121.043,32227.762,39686.316,37288.949,38935.125,34838.395,36553.184,39686.316,27700.363,61793.117,40284.703,30079.244,34944.289,46592.383,42970.348,36524.797,37288.949,31767.535,31153.504,57378.078,42356.711,33560.055,39179.961,48041.328,64455.523,39747.574,47942.938,40238.875,33885.371,36003.207,52218.836,38673.316,53269.93,32227.762,31331.303,31767.535,40984.34,43863.824,40984.34,31961.957,39747.574,37062.125,36553.184,32826.453,32085.209,38650.5,28061.322,29004.986,36553.184,32227.762,30738.256
3,52218.836,42615.945,69250.906,46193.125,30738.256,34836.691,44908.199,41775.07,38935.125,37062.125,42615.945,39747.574,36885.906,30738.256,53874.074,45812.141,73106.367,42615.945,60358.316,38935.125,39747.574,37599.055,40984.34,35158.152,36553.184,64989.313,64455.523,59299.398,38935.125,37288.949,26639.822,32227.762,57440.719,69250.906,37062.125,71381.703,53269.93,36553.184,37062.125,34092.754,37062.125,56353.469,35861.301,36524.797,44044.609,38121.043,58240.48,36553.184,42610.57,35656.379,42970.348,45082.777,39164.129,37597.563,39709.418,42615.945,31767.535,63923.914,37910.516,32227.762,32227.762,53712.938,46996.953,38968.176,37597.563,32227.762,38641.938,64455.523,45639.262,37597.563,39281.246,53269.93,66604.039,50130.082,41775.07,43361.723,32227.762,35861.301,54304.254,37597.563,60451.902,37597.563,36223.551,36885.906,52218.836,34986.621,44058.168,34308.938,36553.184,38935.125,38422.82,34414.828,35861.301,38641.938,32897.867,31767.535,43415.629,38332.824,33812.082
4,53269.93,46193.125,67120.109,42970.348,35861.301,35450.539,46730.254,42970.348,39959.734,38673.316,44474.547,47333.625,37599.055,31767.535,55861.453,46996.953,77301,49607.895,62662.605,41775.07,37288.949,46107.383,42819.445,40984.34,36030.996,79418.836,62662.605,62307.008,40730.691,41230.926,33673.586,34464.434,62662.605,74577.898,37599.055,76845.641,55861.453,38673.316,42970.348,33420.055,34913.41,59427.297,34944.289,45279.441,51230.426,37910.516,64455.523,35861.301,42970.348,36003.207,43033.559,45066.359,41775.07,41775.07,42356.711,44044.609,33420.055,70316.305,40984.34,37288.949,38935.125,45533.465,47942.938,42356.711,40984.34,37597.563,38887.047,63535.07,47942.938,38641.938,39959.734,53712.938,70697.992,53269.93,47197.156,39603.527,31767.535,32787.473,57440.719,41775.07,61476.512,36553.184,38354.348,38935.125,50130.082,37910.516,46193.125,36885.906,46877.539,39747.574,41896.09,33355.91,39959.734,38354.348,32227.762,32227.762,45118.867,40238.875,34836.691
5,55063.727,50597.586,72006.414,49181.211,43787.883,40238.875,50205.82,44746.742,41896.09,45004.008,47651.301,43681.344,42213.871,38935.125,56935.715,49415.902,79904.891,44746.742,67678.297,43132.758,41775.07,35450.539,46107.383,42615.945,33986.215,73771.813,64751.355,62432.355,41775.07,38935.125,36762.063,34464.434,63923.914,75195.125,38354.348,83550.141,61937.586,41148.441,43446.07,34836.691,38121.043,63923.914,36885.906,36553.184,47942.938,41297.793,69673.383,42819.445,44908.199,37599.055,43681.344,49181.211,42615.945,41896.09,41550.547,43033.559,33302.02,66711.82,44058.168,38780.508,38641.938,51230.426,52218.836,46107.383,40984.34,40984.34,39959.734,66599.555,52416.434,42615.945,41148.441,54004.809,74577.898,41775.07,53269.93,46592.383,36524.797,40984.34,57440.719,39419.746,59299.398,37608.57,38354.348,40485.145,56353.469,40984.34,47942.938,39103.02,43863.824,38354.348,40730.691,34464.434,41775.07,40284.703,35158.152,37288.949,56122.645,42615.945,37288.949
6,59084.23,53269.93,74577.898,46996.953,37288.949,41775.07,52638.68,45952.574,39747.574,41358.961,50828.055,51230.426,45118.867,37597.563,64455.523,51564.418,85231.891,48710.219,66599.555,45902.461,41297.793,44050.98,47651.301,40730.691,42970.348,79372.633,67884.484,65522.012,46107.383,44746.742,37597.563,36553.184,66840.109,76242.086,39686.316,85940.695,67884.484,41896.09,48341.645,37910.516,40984.34,66599.555,37597.563,50828.055,45952.574,41550.547,71722.602,42970.348,51564.418,42356.711,49181.211,49008.336,41775.07,47651.301,47651.301,44908.199,34836.691,72747.203,47942.938,44689.164,38354.348,53269.93,54335.328,48341.645,44474.547,37597.563,45812.141,65574.945,53712.938,44474.547,41896.09,58485.098,76242.086,52218.836,52945.891,49008.336,40238.875,42083.246,61476.512,44581.738,61417.234,41775.07,40238.875,43415.629,62069.559,47942.938,52945.891,41297.793,42615.945,37599.055,37599.055,36885.906,42356.711,41550.547,33885.371,34836.691,59084.23,45705.598,31767.535
7,61476.512,56935.715,84713.422,47651.301,39447.43,46996.953,52945.891,40768.336,42615.945,42356.711,52945.891,62662.605,45533.465,40984.34,65795.734,53712.938,84017.898,53269.93,69250.906,49181.211,42356.711,45118.867,52218.836,45533.465,44570.473,79924.852,73106.367,71975.336,47942.938,42970.348,38673.316,37273.906,68648.773,79919.469,40165.527,81968.68,63525.73,45279.441,42970.348,41892.008,45533.465,73106.367,42356.711,42615.945,53269.93,42356.711,76708.695,42356.711,52945.891,42083.246,45385.98,46107.383,46996.953,46107.383,45082.777,47942.938,38935.125,78328.258,46996.953,45533.465,42615.945,55400.727,51458.75,53269.93,43033.559,42970.348,45118.867,64455.523,57181.563,47651.301,41775.07,66537.242,78328.258,57440.719,51801.086,52218.836,42615.945,42615.945,62476.152,49181.211,63706.98,44746.742,40779.422,43415.629,62662.605,53269.93,53712.938,42356.711,55400.727,37806.438,43415.629,34092.754,44474.547,40984.34,39686.316,37599.055,57531.523,47942.938,46996.953
8,62662.605,61417.234,88428.086,53712.938,42615.945,44746.742,57440.719,43863.824,44746.742,51230.426,53712.938,51230.426,48041.328,42970.348,73106.367,57440.719,90008.016,53269.93,73106.367,50819.512,41896.09,42970.348,53712.938,42970.348,37910.516,84594.516,74123.852,74124.25,50205.82,48341.645,40984.34,40821.832,74124.25,80569.406,40238.875,95302.602,71975.336,44746.742,47729.855,40984.34,48710.219,71722.602,47121.844,51139.133,55861.453,41775.07,75821.031,46996.953,52945.891,47942.938,53712.938,55063.727,40984.34,47942.938,47651.301,48341.645,38433.063,75198.109,51230.426,47651.301,38354.348,62662.605,59529.473,53927.789,42970.348,45118.867,52218.836,66599.555,62662.605,49607.895,41775.07,58402.688,83550.141,55063.727,55400.727,53712.938,46592.383,50828.055,62662.605,50130.082,76239.5,41775.07,42615.945,43863.824,77774.094,51230.426,57440.719,43033.559,66599.555,44474.547,42970.348,37599.055,47651.301,40984.34,37599.055,38121.043,74124.25,46344.84,42615.945
9,63923.914,63923.914,88772.023,67884.484,41775.07,42615.945,59427.297,49769.137,43863.824,52945.891,56396.344,58240.48,52218.836,42356.711,75198.109,58240.48,96683.289,53712.938,79919.469,51230.426,42615.945,52416.434,56353.469,52218.836,47131.992,89140.945,78328.258,81968.68,50073.734,53712.938,40344.77,37599.055,77283.875,85772.344,40779.422,104203.09,73065.328,48710.219,49415.902,42356.711,48341.645,75821.031,43415.629,51230.426,52945.891,41896.09,75198.109,48341.645,53712.938,48341.645,50819.512,55400.727,45952.574,51174.461,53279.645,59299.398,36066.223,85940.695,61476.512,41775.07,48341.645,60573.852,58009.973,53712.938,45812.141,47651.301,47942.938,71722.602,63535.07,47651.301,48341.645,66840.109,84713.422,49008.336,57378.078,58009.973,47942.938,50490.16,63923.914,42615.945,68829.656,48341.645,44474.547,46996.953,69673.383,41896.09,62858.516,46107.383,49181.211,41827.254,46592.383,38935.125,51230.426,42970.348,38463.805,42615.945,73771.813,46996.953,42970.348
10,65652.906,64455.523,87014.961,67884.484,42970.348,44474.547,63535.07,53279.645,44058.168,53712.938,59427.297,63923.914,55861.453,38641.938,77346.633,61476.512,99215.789,62662.605,80569.406,52218.836,42356.711,53712.938,60573.852,51230.426,51230.426,95302.602,80970.289,81968.68,51564.418,54004.809,48668.906,39140.047,83101.094,86683.266,42356.711,102460.85,78839.492,51991.449,50828.055,42008.949,53712.938,81968.68,50205.82,51139.133,43033.559,43863.824,80569.406,47651.301,62662.605,51230.426,50828.055,55861.453,44908.199,48341.645,52945.891,58240.48,42615.945,84713.422,48475.637,50828.055,42568.496,51230.426,71017.617,58009.973,43863.824,45548.57,49181.211,75198.109,67884.484,60573.852,47131.992,63923.914,89816.398,52945.891,59084.23,59299.398,47267.383,43945.09,64455.523,53605.512,69250.906,46107.383,46107.383,50828.055,64455.523,54335.328,60573.852,51230.426,62662.605,42615.945,49181.211,40821.832,52255.035,46107.383,44044.609,44058.168,72006.414,55328.859,46107.383
