Year,Accounting and Actuarial Science,advertising and public relations,aerospace engineering,agriculture production and management,animal sciences,anthropology and archeology,architecture,"area, ethnic, and civilization studies",art and music education,art history and criticism,Average of all Majors,Biochemistry and Molecular Biology,biology,"Botany, Ecology, and Zoology",business economics,business management and administration,Chemical and Biological Engineering,chemistry,Civil and Architectural Egineering,commercial art and graphic design,communication disorders sciences and services,communication technologies,communications,community and public health,composition and speech,computer engineering,computer science,construction services,criminal justice and fire protection,criminology,drama and theater arts,early childhood education,economics,electrical engineering,elementary education,Energy and Extraction Engineering,engineering technologies,english language and literature,environmental science,family and consumer sciences,"film, video and photographic arts",finance,fine arts,forestry,general agriculture,general education,general engineering,general medical and health services,General Physical Science,general social sciences,geography,Geology and Earth Science,health and medical administrative services,history,hospitality management,human resources and personnel management,human services and community organization,Industrial and Environmental Engineering,intercultural and international studies,interdisciplinary and multi-disciplinary studies (general),interdisciplinary social sciences,international business,international relations,journalism,language and drama education,liberal arts,Linguistics and Foreign Languages,management information systems and statistics,marketing and marketing research,mass media,Math and Science Teacher Education,Mathematics and Statistics,"Mechanical, Biomedical, and Marine Engineering",medical assisting services,medical technologies technicians,"Microbiology, Physiology, Pharmacology, Genetics, and Neuroscience",music,natural resources management,nursing,nutrition sciences,"operations, logistics and e-commerce",philosophy and religious studies,physical and health education teaching,"physical fitness, parks, recreation, and leisure","Physics, Astronomy, and Astrophysics",plant science and agronomy,political science and government,psychology,Public Administration and Public Policy,secondary teacher education,social science or history teacher education,social work,sociology,special needs education,studio arts,theology and religious vocations,transportation sciences and technologies,treatment therapy professions,visual and performing arts
1,56353.469,43681.344,68829.656,49181.211,46107.383,30738.256,52218.836,39686.316,45952.574,35450.539,51230.426,42615.945,37288.949,30738.256,63535.07,52218.836,74577.898,43033.559,62662.605,44050.98,37062.125,40821.832,42356.711,46996.953,34426.848,79904.891,78839.492,65795.734,40984.34,39747.574,32787.473,40821.832,63923.914,73106.367,40984.34,85231.891,60573.852,38354.348,40485.145,36223.551,37597.563,63923.914,40730.691,42356.711,48156.602,43945.09,71722.602,38935.125,51564.418,39686.316,46996.953,42615.945,46107.383,38121.043,40821.832,46996.953,31331.303,66711.82,42623.715,38673.316,36003.207,53712.938,44044.609,42615.945,38935.125,44474.547,37288.949,63535.07,48341.645,41297.793,38121.043,61476.512,69250.906,42615.945,55861.453,42615.945,37075.375,47651.301,56466.125,31331.303,66604.039,42615.945,37599.055,35508.809,63706.98,47651.301,49181.211,37288.949,46877.539,43033.559,38641.938,36885.906,42111.41,38354.348,31767.535,33420.055,46996.953,35861.301,33885.371
2,58596.922,47651.301,73771.813,46107.383,41550.547,40984.34,49181.211,51564.418,43863.824,45639.262,53390.66,52218.836,42819.445,42356.711,64593.988,53269.93,76242.086,52638.68,68829.656,45118.867,38121.043,50547.832,47410.238,45082.777,40238.875,83550.141,78839.492,68648.773,43033.559,40984.34,37599.055,40238.875,67884.484,76242.086,40730.691,102460.85,61618.227,42521.254,43863.824,37910.516,44581.738,66711.82,40821.832,46486.492,48341.645,42970.348,73106.367,46996.953,58240.48,46107.383,46107.383,48156.602,51230.426,46107.383,43033.559,47651.301,34092.754,69826.82,50828.055,47651.301,42819.445,63535.07,59084.23,43033.559,41775.07,38673.316,42970.348,67884.484,52218.836,47131.992,47131.992,69673.383,73771.813,53269.93,57440.719,51230.426,41775.07,42615.945,61476.512,50130.082,65652.906,46984.078,43033.559,40984.34,54787.195,51230.426,52218.836,41896.09,58009.973,41252.879,42615.945,40238.875,42356.711,46193.125,39686.316,37599.055,47942.938,41775.07,47651.301
3,62662.605,54304.254,75198.109,55400.727,46300.551,43863.824,53269.93,52218.836,44058.168,47651.301,58402.688,53263.215,50073.734,42356.711,71975.336,59084.23,85231.891,52218.836,68752.563,49415.902,51139.133,47942.938,52218.836,44474.547,42356.711,85940.695,82035.688,68829.656,50073.734,49239.68,36553.184,40238.875,78328.258,85042.508,42356.711,87890.18,67120.109,45743.699,48341.645,42356.711,50828.055,74124.25,48710.219,55063.727,52945.891,44746.742,71722.602,49415.902,59662.32,42623.715,53279.645,59529.473,46996.953,49181.211,52218.836,51230.426,40984.34,73106.367,49875.027,48341.645,47131.992,61476.512,62307.008,51230.426,42356.711,42970.348,47942.938,78894.859,56353.469,48145.766,44908.199,72006.414,76845.641,59662.32,53712.938,60727.719,42970.348,44058.168,64455.523,51564.418,69826.82,51230.426,44044.609,46996.953,72006.414,56122.645,56353.469,44746.742,46107.383,47942.938,46057.012,40984.34,46592.383,44365.551,42970.348,37182.41,63535.07,49769.137,42970.348
4,68829.656,61476.512,79904.891,54307.59,46344.84,47131.992,60887.773,53279.645,48710.219,53712.938,62307.008,60358.316,51230.426,41599.105,79418.836,62662.605,87727.648,58009.973,71722.602,52945.891,44474.547,55700.316,53712.938,51230.426,43654.945,98016.672,80569.406,74123.852,52945.891,54004.809,42970.348,41775.07,84713.422,85231.891,42970.348,102460.85,67884.484,51564.418,52218.836,42356.711,53279.645,78328.258,46107.383,57440.719,61476.512,44746.742,77283.875,47942.938,61476.512,50130.082,61417.234,58402.688,52218.836,55351.965,50130.082,56353.469,43033.559,84713.422,56353.469,49415.902,52218.836,67678.297,60573.852,53269.93,46107.383,47131.992,53269.93,75198.109,63923.914,48341.645,47651.301,77346.633,80569.406,63525.73,56353.469,58596.922,41775.07,40984.34,68829.656,54004.809,73771.813,57531.523,44474.547,50130.082,70316.305,44044.609,61476.512,46107.383,58240.48,45533.465,48710.219,40485.145,50828.055,44746.742,43415.629,39419.746,64455.523,49769.137,46996.953
5,72447.102,67884.484,87091.727,68829.656,55351.965,50443.395,60727.719,55400.727,48341.645,59427.297,64550.34,60358.316,54787.195,46107.383,71722.602,66604.039,102054.58,52945.891,79919.469,57440.719,58240.48,45441.145,61476.512,56353.469,43033.559,95885.875,86683.266,74124.25,53279.645,56353.469,45952.574,41550.547,88949.094,91311.992,44058.168,116480.96,74124.25,52945.891,59299.398,47651.301,52255.035,88949.094,52218.836,45812.141,58402.688,48259.063,79904.891,52945.891,57440.719,59084.23,60451.902,63535.07,56466.125,55861.453,55328.859,55351.965,49181.211,82595.586,57440.719,55063.727,52945.891,69250.906,74577.898,58596.922,50828.055,53269.93,51564.418,83792.18,68829.656,56291.906,49085.707,76242.086,86683.266,54307.59,64455.523,60573.852,48341.645,52218.836,68648.773,50606.434,73065.328,51564.418,46996.953,52945.891,81968.68,47651.301,64989.313,51230.426,83550.141,42356.711,48041.328,42356.711,54335.328,46062.926,45118.867,45118.867,73771.813,53175.809,50130.082
6,76845.641,76272.367,88772.023,60158.488,56353.469,52218.836,66054.711,61618.227,47757.191,56466.125,69250.906,62307.008,59662.32,46592.383,87091.727,69826.82,97337.813,66054.711,79418.836,60727.719,57440.719,62662.605,63535.07,52945.891,53712.938,100260.16,88428.086,79904.891,61476.512,61793.117,51230.426,42970.348,100597.2,90558.883,44474.547,128076.07,80569.406,55400.727,63706.98,46107.383,53269.93,93993.906,53269.93,53712.938,60573.852,48341.645,87091.727,56353.469,73106.367,63923.914,55874.156,64455.523,56466.125,63525.73,61476.512,63923.914,51781.082,85231.891,67884.484,52218.836,46996.953,68829.656,71722.602,63923.914,51230.426,52945.891,59981.941,85231.891,78328.258,64550.34,50205.82,83550.141,88772.023,71722.602,66599.555,62662.605,52255.035,61417.234,72747.203,61417.234,79904.891,58240.48,50130.082,57378.078,76239.5,62662.605,74124.25,53269.93,51564.418,46996.953,46996.953,42356.711,56396.344,46193.125,41775.07,43863.824,80569.406,62476.152,43132.758
7,79919.469,75198.109,94820.477,68829.656,59084.23,60573.852,67624.164,52218.836,51230.426,61417.234,73106.367,87091.727,60158.488,52945.891,105277.36,76272.367,102715.03,73277.109,83550.141,65652.906,53279.645,63923.914,69250.906,61476.512,59529.473,105891.78,98171.414,91311.992,65652.906,60573.852,52945.891,45082.777,102460.85,96683.289,46996.953,151434.63,80569.406,62662.605,57440.719,55400.727,62662.605,102460.85,58240.48,60727.719,59084.23,51230.426,90008.016,56396.344,69673.383,52218.836,59427.297,62662.605,63923.914,64455.523,61476.512,63923.914,49693.516,104437.67,63535.07,52218.836,62476.152,72006.414,73106.367,69826.82,51230.426,61417.234,60358.316,92214.766,77301,64550.34,56353.469,100411.64,95288.594,69826.82,62662.605,73771.813,56353.469,56353.469,75643.297,55063.727,81968.68,63923.914,47623.578,56353.469,93993.906,64455.523,75198.109,57531.523,71722.602,46193.125,49133.461,41775.07,58485.098,44908.199,51230.426,46877.539,90008.016,65574.945,61476.512
8,85231.891,83550.141,102460.85,74124.25,52945.891,60573.852,69826.82,73106.367,53269.93,73106.367,76845.641,75198.109,63535.07,61232.746,101212.87,80569.406,102404.89,63525.73,87091.727,68829.656,52218.836,64447.879,74124.25,69250.906,56353.469,102278.27,96683.289,93993.906,67884.484,66599.555,53263.215,48156.602,104437.67,102460.85,46877.539,148248.5,91311.992,61476.512,61476.512,53279.645,63535.07,102460.85,62662.605,63535.07,69250.906,51230.426,92214.766,59427.297,72006.414,68648.773,66840.109,74577.898,58240.48,66599.555,65574.945,67678.297,47651.301,95302.602,66599.555,61793.117,52945.891,93993.906,78328.258,75198.109,52218.836,61476.512,74577.898,88949.094,83550.141,63923.914,51564.418,87091.727,97420.438,66599.555,69826.82,81968.68,58596.922,61476.512,75198.109,67884.484,92214.766,56935.715,53390.66,55861.453,102460.85,59299.398,79919.469,58596.922,93993.906,51230.426,51027.289,46193.125,62662.605,49769.137,47131.992,49415.902,95302.602,62858.516,52218.836
9,87727.648,88428.086,105891.78,82035.688,70947.492,64455.523,76845.641,78328.258,54307.59,64550.34,81968.68,74124.25,69250.906,57378.078,119879.2,81968.68,111722.91,72447.102,97337.813,68928.867,61793.117,74151.742,79904.891,66599.555,59427.297,106539.86,105891.78,96683.289,72747.203,75198.109,59084.23,46107.383,117539.88,102460.85,46996.953,179306.5,91311.992,66599.555,68752.563,55351.965,74577.898,107425.88,61476.512,60451.902,74577.898,50130.082,96683.289,64455.523,79904.891,62662.605,75198.109,64455.523,64455.523,71722.602,68829.656,76239.5,43033.559,104203.09,90165.555,53279.645,60451.902,98362.422,85772.344,79418.836,56353.469,62662.605,64455.523,97337.813,85231.891,69973.242,57531.523,105891.78,104437.67,67241.281,68648.773,80569.406,66599.555,59662.32,77870.25,51230.426,88772.023,70316.305,50828.055,63923.914,105891.78,56466.125,92214.766,63535.07,83101.094,57440.719,55861.453,47942.938,70316.305,51027.289,53269.93,58596.922,91311.992,63923.914,53712.938
10,92214.766,85940.695,100260.16,85940.695,61476.512,60695.617,79418.836,76708.695,56353.469,77346.633,85638.891,86831.258,76845.641,59299.398,99387.031,87362.688,122834.47,85231.891,100260.16,71017.617,52945.891,71722.602,85940.695,65795.734,63923.914,119058.95,106539.86,101212.87,71381.703,71722.602,64455.523,46996.953,125325.21,107425.88,51174.461,133199.11,95302.602,73106.367,71722.602,62307.008,68829.656,112797.16,67884.484,72061.992,68829.656,53269.93,102460.85,61476.512,83550.141,68829.656,78359.922,74986.25,74124.25,73106.367,66604.039,82505.758,63923.914,111186.37,74577.898,64455.523,64751.355,85231.891,106539.86,82595.586,52218.836,63535.07,64455.523,101212.87,98831.805,84713.422,51564.418,98362.422,107570.8,73512.5,74577.898,76845.641,63535.07,60358.316,80569.406,82505.758,92214.766,67624.164,56353.469,64455.523,100980.32,74124.25,87296.648,69826.82,75195.125,58240.48,61417.234,48710.219,73106.367,56353.469,69250.906,53712.938,104437.67,75198.109,65529.781
11,96683.289,91311.992,105891.78,87890.18,61793.117,75198.109,86683.266,69826.82,56935.715,84713.422,88772.023,81968.68,80569.406,59662.32,117193.84,90008.016,120903.8,90165.555,101436.24,80569.406,55400.727,91624.281,85231.891,67120.109,74796.422,122953.02,111866.85,107425.88,76239.5,74124.25,74124.25,46107.383,137659.31,105891.78,50180.273,134724.59,102460.85,75198.109,72747.203,68108,75198.109,121775.55,75195.125,68648.773,85940.695,52218.836,106539.86,63706.98,91311.992,66599.555,74124.25,69826.82,75821.031,81968.68,76239.5,79904.891,49415.902,107583.9,71722.602,63535.07,71722.602,92949.531,123539.76,84166.492,56353.469,66599.555,72006.414,116480.96,93993.906,82993.289,58240.48,106539.86,107425.88,73106.367,76845.641,92214.766,63923.914,69826.82,82595.586,71722.602,93993.906,74577.898,57440.719,74124.25,97337.813,70947.492,95302.602,69973.242,78328.258,61793.117,66599.555,50073.734,69250.906,50130.082,78328.258,62307.008,100597.2,75198.109,64751.355
12,95609.031,97337.813,119879.2,99215.789,63535.07,69826.82,81968.68,76845.641,55063.727,95038.281,90558.883,87091.727,78894.859,59299.398,130547.09,90558.883,121775.55,81968.68,105474.46,78328.258,63535.07,74124.25,88772.023,65652.906,63923.914,131149.89,109736.05,107583.9,76708.695,84017.898,69250.906,51230.426,115595.75,117539.88,51230.426,158814.33,98171.414,79495.148,80569.406,62662.605,95038.281,128076.07,67884.484,69826.82,79904.891,54304.254,105891.78,63923.914,74124.25,61793.117,73106.367,80569.406,73106.367,76239.5,69826.82,75198.109,47651.301,105474.46,104437.67,55351.965,59427.297,84713.422,106539.86,94534.766,51139.133,71381.703,81968.68,112245.29,100597.2,79904.891,55063.727,97337.813,115716.94,64550.34,68648.773,81968.68,70947.492,63923.914,81461.383,66604.039,107583.9,88772.023,61417.234,68928.867,107425.88,68829.656,97337.813,67678.297,96683.289,54304.254,63598.605,54307.59,74577.898,46996.953,79418.836,66599.555,105891.78,83550.141,68185.508
13,95885.875,95038.281,117193.84,84713.422,79904.891,80417.008,87091.727,95038.281,58009.973,74577.898,94534.766,91190.164,74577.898,71381.703,139653.64,96683.289,127070.14,90860.773,101656.11,81968.68,78894.859,83550.141,98016.672,71722.602,83792.18,127070.14,115780.77,112706.94,80569.406,81968.68,71722.602,47644.297,122520.84,125325.21,53263.215,138322.16,104437.67,77301,73049.594,63535.07,81968.68,132364.72,74124.25,66599.555,95302.602,55328.859,107425.88,67770.742,88089.219,81968.68,75183.164,93993.906,72006.414,90558.883,78894.859,77774.094,71381.703,122953.02,92125.852,67884.484,68829.656,102460.85,121391.23,94534.766,51251.621,71017.617,69250.906,114881.44,106539.86,90237.734,63923.914,107425.88,118168.46,79372.633,72447.102,84713.422,86683.266,81968.68,81461.383,73106.367,103128.84,81536.672,63923.914,73771.813,107963,75735.242,105482.05,75198.109,97757.547,67884.484,57440.719,52945.891,81968.68,55861.453,76845.641,59529.473,121775.55,88949.094,85231.891
14,102460.85,100597.2,122953.02,92214.766,79418.836,67624.164,95885.875,96313.203,62476.152,77346.633,96683.289,102460.85,80569.406,74577.898,125325.21,97337.813,133174.83,96683.289,112706.94,84713.422,49181.211,78359.922,102460.85,74577.898,90558.883,146212.73,120103.32,116019.95,78359.922,71722.602,76845.641,44044.609,148248.5,127070.14,53269.93,122520.84,107425.88,82035.688,87727.648,69826.82,87362.688,129187.98,76242.086,95302.602,75198.109,57181.563,104437.67,71722.602,96683.289,73106.367,88428.086,74796.422,62662.605,88772.023,76845.641,96683.289,63535.07,122520.84,89163.477,78328.258,69826.82,106539.86,125002.24,95302.602,58485.098,75821.031,79418.836,118168.46,107425.88,92214.766,59529.473,115063.05,127070.14,116480.96,83550.141,97127.039,93993.906,77346.633,85231.891,88772.023,131591.47,102460.85,74124.25,75198.109,123539.76,85231.891,104437.67,79418.836,102715.03,57181.563,56935.715,52218.836,82595.586,52945.891,64989.313,66599.555,110127.45,85940.695,58485.098
15,112706.94,113837.06,123236.45,114881.44,78420.891,73106.367,88772.023,109633.12,60573.852,107425.88,102054.58,122834.47,86683.266,71017.617,130547.09,106526.43,127070.14,87890.18,122953.02,84713.422,75198.109,101212.87,102054.58,73106.367,89816.398,138501.81,127051.46,125325.21,85231.891,74123.852,76845.641,45952.574,149592.84,128911.05,53712.938,175208.06,111866.85,81461.383,83550.141,68829.656,101212.87,153691.28,87091.727,84866.438,101212.87,54787.195,117193.84,67120.109,95885.875,75195.125,79904.891,89816.398,73771.813,93993.906,81968.68,83550.141,63535.07,133199.11,83550.141,61793.117,75195.125,96683.289,92214.766,100411.64,58240.48,80944.078,81968.68,117829.98,107425.88,79904.891,74124.25,117193.84,127070.14,69250.906,87362.688,111186.37,80650.672,75198.109,85231.891,74577.898,107425.88,107583.9,66599.555,79904.891,121775.55,66599.555,111186.37,83792.18,90558.883,63535.07,53269.93,58596.922,81968.68,57440.719,74123.852,64455.523,118168.46,93993.906,85940.695
